object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,583.8889,102.333336,9.0,583.0,101.0,586.0,105.0
1,0,2,0,Plaques,1.0,0.0,600.5,103.5,4.0,600.0,103.0,602.0,105.0
2,0,3,0,Plaques,1.0,0.0,543.7895,110.0,19.0,542.0,108.0,547.0,113.0
3,0,4,0,Plaques,1.0,0.0,590.4286,114.7619,21.0,589.0,112.0,593.0,119.0
4,0,5,0,Plaques,1.0,0.0,718.5,112.5,4.0,718.0,112.0,720.0,114.0
5,0,6,0,Plaques,1.0,0.0,613.1667,122.166664,6.0,612.0,121.0,615.0,124.0
6,0,7,0,Plaques,1.0,0.0,568.5,124.0,24.0,566.0,122.0,572.0,127.0
7,0,8,0,Plaques,1.0,0.0,562.6667,123.333336,3.0,562.0,123.0,564.0,125.0
8,0,9,0,Plaques,1.0,0.0,528.0,126.666664,18.0,524.0,125.0,531.0,129.0
9,0,10,0,Plaques,1.0,0.0,592.875,125.875,8.0,592.0,125.0,595.0,128.0
10,0,11,0,Plaques,1.0,0.0,578.0833,128.75,12.0,576.0,126.0,581.0,132.0
11,0,12,0,Plaques,1.0,0.0,326.6,128.8,5.0,326.0,128.0,328.0,131.0
12,0,13,0,Plaques,1.0,0.0,560.1667,129.83333,6.0,559.0,129.0,562.0,132.0
13,0,14,0,Plaques,1.0,0.0,711.5455,130.36363,11.0,710.0,129.0,714.0,133.0
14,0,15,0,Plaques,1.0,0.0,536.6667,131.33333,3.0,536.0,131.0,538.0,133.0
15,0,16,0,Plaques,1.0,0.0,569.36365,133.09091,11.0,568.0,132.0,572.0,135.0
16,0,17,0,Plaques,1.0,0.0,544.75,134.0,4.0,544.0,133.0,546.0,136.0
17,0,18,0,Plaques,1.0,0.0,346.66666,136.5,6.0,346.0,135.0,348.0,139.0
18,0,19,0,Plaques,1.0,0.0,634.0,135.5,6.0,633.0,135.0,636.0,137.0
19,0,20,0,Plaques,1.0,0.0,328.2,138.6,10.0,327.0,137.0,331.0,141.0
20,0,21,0,Plaques,1.0,0.0,321.2,138.6,5.0,320.0,138.0,323.0,140.0
21,0,22,0,Plaques,1.0,0.0,315.0,140.28572,7.0,314.0,139.0,317.0,142.0
22,0,23,0,Plaques,1.0,0.0,629.5,139.5,4.0,629.0,139.0,631.0,141.0
23,0,24,0,Plaques,1.0,0.0,722.0,141.0,9.0,721.0,140.0,724.0,143.0
24,0,25,0,Plaques,1.0,0.0,532.63635,145.09091,11.0,531.0,144.0,535.0,147.0
25,0,26,0,Plaques,1.0,0.0,546.0,144.0,3.0,545.0,144.0,548.0,145.0
26,0,27,0,Plaques,1.0,0.0,350.5,146.0,6.0,350.0,145.0,352.0,148.0
27,0,28,0,Plaques,1.0,0.0,329.5,147.0,10.0,328.0,146.0,332.0,149.0
28,0,29,0,Plaques,1.0,0.0,581.5,150.0,10.0,580.0,149.0,584.0,152.0
29,0,30,0,Plaques,1.0,0.0,343.33334,150.66667,3.0,343.0,150.0,345.0,152.0
30,0,31,0,Plaques,1.0,0.0,335.0,151.5,6.0,334.0,151.0,337.0,153.0
31,0,32,0,Plaques,1.0,0.0,357.7143,152.0,7.0,357.0,151.0,360.0,154.0
32,0,33,0,Plaques,1.0,0.0,324.84616,154.23077,13.0,324.0,152.0,327.0,157.0
33,0,34,0,Plaques,1.0,0.0,339.3889,155.72223,18.0,338.0,153.0,342.0,159.0
34,0,35,0,Plaques,1.0,0.0,375.2,153.4,5.0,374.0,153.0,377.0,155.0
35,0,36,0,Plaques,1.0,0.0,641.0,154.0,9.0,640.0,153.0,643.0,156.0
36,0,37,0,Plaques,1.0,0.0,813.5,153.5,4.0,813.0,153.0,815.0,155.0
37,0,38,0,Plaques,1.0,0.0,384.1111,155.66667,9.0,383.0,154.0,386.0,158.0
38,0,39,0,Plaques,1.0,0.0,331.66666,156.11111,9.0,330.0,155.0,334.0,158.0
39,0,40,0,Plaques,1.0,0.0,624.0,156.0,9.0,623.0,155.0,626.0,158.0
40,0,41,0,Plaques,1.0,0.0,551.0,156.5,6.0,550.0,156.0,553.0,158.0
41,0,42,0,Plaques,1.0,0.0,874.0,157.5,6.0,873.0,157.0,876.0,159.0
42,0,43,0,Plaques,1.0,0.0,391.83334,159.66667,6.0,391.0,159.0,394.0,162.0
43,0,44,0,Plaques,1.0,0.0,410.5,159.5,4.0,410.0,159.0,412.0,161.0
44,0,45,0,Plaques,1.0,0.0,725.2,159.4,5.0,724.0,159.0,727.0,161.0
45,0,46,0,Plaques,1.0,0.0,730.3333,163.08333,12.0,729.0,162.0,733.0,166.0
46,0,47,0,Plaques,1.0,0.0,326.93332,164.8,15.0,325.0,163.0,330.0,167.0
47,0,48,0,Plaques,1.0,0.0,744.375,165.25,16.0,743.0,163.0,747.0,169.0
48,0,49,0,Plaques,1.0,0.0,340.0,165.8,10.0,339.0,164.0,342.0,168.0
49,0,50,0,Plaques,1.0,0.0,763.61536,165.38461,13.0,762.0,164.0,766.0,168.0
50,0,51,0,Plaques,1.0,0.0,780.5,164.5,4.0,780.0,164.0,782.0,166.0
51,0,52,0,Plaques,1.0,0.0,307.0,167.28572,7.0,306.0,166.0,309.0,169.0
