object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,544.0,41.5,2.0,544.0,41.0,545.0,43.0
1,0,2,0,Plaques,1.0,0.0,574.5,44.5,4.0,574.0,44.0,576.0,46.0
2,0,3,0,Plaques,1.0,0.0,563.5,49.0,2.0,563.0,49.0,565.0,50.0
3,0,4,0,Plaques,1.0,0.0,548.5,53.0,2.0,548.0,53.0,550.0,54.0
4,0,5,0,Plaques,1.0,0.0,600.0,54.0,1.0,600.0,54.0,601.0,55.0
5,0,6,0,Plaques,1.0,0.0,593.0,55.0,1.0,593.0,55.0,594.0,56.0
6,0,7,0,Plaques,1.0,0.0,611.0,55.0,1.0,611.0,55.0,612.0,56.0
7,0,8,0,Plaques,1.0,0.0,438.0,59.0,1.0,438.0,59.0,439.0,60.0
8,0,9,0,Plaques,1.0,0.0,321.5,61.0,2.0,321.0,61.0,323.0,62.0
9,0,10,0,Plaques,1.0,0.0,327.5,61.0,2.0,327.0,61.0,329.0,62.0
10,0,11,0,Plaques,1.0,0.0,394.0,64.0,1.0,394.0,64.0,395.0,65.0
11,0,12,0,Plaques,1.0,0.0,408.0,65.5,2.0,408.0,65.0,409.0,67.0
12,0,13,0,Plaques,1.0,0.0,465.0,65.0,1.0,465.0,65.0,466.0,66.0
13,0,14,0,Plaques,1.0,0.0,474.5,65.0,2.0,474.0,65.0,476.0,66.0
14,0,15,0,Plaques,1.0,0.0,520.0,65.0,1.0,520.0,65.0,521.0,66.0
15,0,16,0,Plaques,1.0,0.0,322.5,68.5,4.0,322.0,68.0,324.0,70.0
16,0,17,0,Plaques,1.0,0.0,378.0,69.0,1.0,378.0,69.0,379.0,70.0
17,0,18,0,Plaques,1.0,0.0,283.33334,70.666664,3.0,283.0,70.0,285.0,72.0
18,0,19,0,Plaques,1.0,0.0,351.54544,72.63636,11.0,350.0,71.0,354.0,75.0
19,0,20,0,Plaques,1.0,0.0,384.5,71.5,6.0,383.0,71.0,387.0,73.0
20,0,21,0,Plaques,1.0,0.0,405.0,71.0,3.0,404.0,71.0,407.0,72.0
