object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,810.0,33.5,6.0,809.0,33.0,812.0,35.0
1,0,2,0,Plaques,1.0,0.0,813.6667,37.666668,3.0,813.0,37.0,815.0,39.0
2,0,3,0,Plaques,1.0,0.0,728.75,41.0,4.0,728.0,40.0,730.0,43.0
3,0,4,0,Plaques,1.0,0.0,1034.0,88.28571,7.0,1033.0,87.0,1036.0,90.0
4,0,5,0,Plaques,1.0,0.0,954.625,92.4375,16.0,953.0,90.0,957.0,95.0
5,0,6,0,Plaques,1.0,0.0,1008.6,106.2,5.0,1008.0,105.0,1010.0,108.0
6,0,7,0,Plaques,1.0,0.0,887.1667,127.166664,6.0,886.0,126.0,889.0,129.0
7,0,8,0,Plaques,1.0,0.0,1003.7143,128.0,7.0,1003.0,127.0,1006.0,130.0
8,0,9,0,Plaques,1.0,0.0,599.5,137.5,4.0,599.0,137.0,601.0,139.0
9,0,10,0,Plaques,1.0,0.0,1002.3333,140.11111,9.0,1001.0,139.0,1005.0,142.0
10,0,11,0,Plaques,1.0,0.0,588.0,142.0,5.0,587.0,141.0,590.0,144.0
11,0,12,0,Plaques,1.0,0.0,1151.5,145.5,4.0,1151.0,145.0,1153.0,147.0
12,0,13,0,Plaques,1.0,0.0,576.6667,146.66667,3.0,576.0,146.0,578.0,148.0
13,0,14,0,Plaques,1.0,0.0,604.38464,147.61539,13.0,603.0,146.0,607.0,150.0
14,0,15,0,Plaques,1.0,0.0,1063.2,147.0,10.0,1062.0,146.0,1066.0,149.0
15,0,16,0,Plaques,1.0,0.0,1114.7142,147.0,7.0,1114.0,146.0,1117.0,149.0
16,0,17,0,Plaques,1.0,0.0,934.4,149.2,5.0,934.0,148.0,936.0,151.0
17,0,18,0,Plaques,1.0,0.0,1041.0656,159.2541,122.0,1034.0,148.0,1047.0,171.0
18,0,19,0,Plaques,1.0,0.0,927.5,150.0,20.0,924.0,149.0,932.0,152.0
19,0,20,0,Plaques,1.0,0.0,939.375,151.95833,24.0,938.0,149.0,942.0,156.0
20,0,21,0,Plaques,1.0,0.0,1001.2,150.5,10.0,1000.0,149.0,1003.0,153.0
21,0,22,0,Plaques,1.0,0.0,1030.1837,152.81633,49.0,1027.0,149.0,1036.0,158.0
22,0,23,0,Plaques,1.0,0.0,1065.6552,152.6207,29.0,1062.0,150.0,1071.0,156.0
23,0,24,0,Plaques,1.0,0.0,953.13513,154.94595,74.0,942.0,151.0,962.0,160.0
24,0,25,0,Plaques,1.0,0.0,1051.6531,154.0204,49.0,1046.0,151.0,1059.0,158.0
25,0,26,0,Plaques,1.0,0.0,933.0,153.0,7.0,932.0,152.0,935.0,155.0
26,0,27,0,Plaques,1.0,0.0,997.5,152.5,4.0,997.0,152.0,999.0,154.0
27,0,28,0,Plaques,1.0,0.0,968.8289,159.89473,76.0,963.0,153.0,976.0,170.0
28,0,29,0,Plaques,1.0,0.0,974.5,154.5,12.0,973.0,153.0,977.0,157.0
29,0,30,0,Plaques,1.0,0.0,1071.7778,154.11111,9.0,1071.0,153.0,1074.0,157.0
30,0,31,0,Plaques,1.0,0.0,1003.0,154.71428,7.0,1002.0,154.0,1005.0,157.0
31,0,32,0,Plaques,1.0,0.0,914.0,157.0,9.0,913.0,156.0,916.0,159.0
32,0,33,0,Plaques,1.0,0.0,980.14,161.02,50.0,976.0,156.0,987.0,168.0
33,0,34,0,Plaques,1.0,0.0,1091.7142,158.0,7.0,1091.0,157.0,1094.0,160.0
