object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,600.5,80.5,14.0,599.0,79.0,603.0,83.0
1,0,2,0,Plaques,1.0,0.0,803.5,81.5,4.0,803.0,81.0,805.0,83.0
2,0,3,0,Plaques,1.0,0.0,590.875,83.125,8.0,590.0,82.0,593.0,85.0
3,0,4,0,Plaques,1.0,0.0,552.0,87.0,7.0,551.0,86.0,554.0,89.0
4,0,5,0,Plaques,1.0,0.0,625.6,87.8,5.0,625.0,87.0,627.0,90.0
5,0,6,0,Plaques,1.0,0.0,526.5,89.5,4.0,526.0,89.0,528.0,91.0
6,0,7,0,Plaques,1.0,0.0,579.125,89.875,8.0,578.0,89.0,581.0,92.0
7,0,8,0,Plaques,1.0,0.0,502.5,91.5,4.0,502.0,91.0,504.0,93.0
8,0,9,0,Plaques,1.0,0.0,546.5,95.5,4.0,546.0,95.0,548.0,97.0
9,0,10,0,Plaques,1.0,0.0,566.2,97.0,10.0,565.0,96.0,569.0,99.0
10,0,11,0,Plaques,1.0,0.0,548.125,98.875,8.0,547.0,98.0,550.0,101.0
11,0,12,0,Plaques,1.0,0.0,562.3721,102.441864,43.0,558.0,99.0,568.0,107.0
12,0,13,0,Plaques,1.0,0.0,492.33334,101.333336,3.0,492.0,101.0,494.0,103.0
13,0,14,0,Plaques,1.0,0.0,531.875,101.875,8.0,531.0,101.0,534.0,104.0
14,0,15,0,Plaques,1.0,0.0,642.5,101.5,4.0,642.0,101.0,644.0,103.0
15,0,16,0,Plaques,1.0,0.0,612.8,102.6,5.0,612.0,102.0,615.0,104.0
16,0,17,0,Plaques,1.0,0.0,840.125,103.125,8.0,839.0,102.0,842.0,105.0
17,0,18,0,Plaques,1.0,0.0,698.36365,104.545456,11.0,697.0,103.0,701.0,107.0
18,0,19,0,Plaques,1.0,0.0,795.8,103.6,5.0,795.0,103.0,798.0,105.0
19,0,20,0,Plaques,1.0,0.0,821.5,104.5,4.0,821.0,104.0,823.0,106.0
20,0,21,0,Plaques,1.0,0.0,854.25,106.25,12.0,853.0,104.0,857.0,109.0
21,0,22,0,Plaques,1.0,0.0,814.5,106.2,10.0,813.0,105.0,817.0,108.0
22,0,23,0,Plaques,1.0,0.0,462.0,106.25,4.0,461.0,106.0,464.0,108.0
23,0,24,0,Plaques,1.0,0.0,575.2857,107.0,7.0,574.0,106.0,577.0,109.0
24,0,25,0,Plaques,1.0,0.0,611.0,107.5,6.0,610.0,107.0,613.0,109.0
25,0,26,0,Plaques,1.0,0.0,646.5,107.5,8.0,645.0,107.0,649.0,109.0
26,0,27,0,Plaques,1.0,0.0,792.4545,108.36364,11.0,791.0,107.0,795.0,111.0
27,0,28,0,Plaques,1.0,0.0,866.4,107.8,5.0,866.0,107.0,868.0,110.0
28,0,29,0,Plaques,1.0,0.0,525.5,108.5,4.0,525.0,108.0,527.0,110.0
29,0,30,0,Plaques,1.0,0.0,566.61536,110.46154,13.0,565.0,109.0,569.0,113.0
30,0,31,0,Plaques,1.0,0.0,683.6667,112.111115,9.0,682.0,111.0,686.0,114.0
31,0,32,0,Plaques,1.0,0.0,506.0,113.8,10.0,505.0,112.0,508.0,116.0
32,0,33,0,Plaques,1.0,0.0,790.5,112.5,4.0,790.0,112.0,792.0,114.0
33,0,34,0,Plaques,1.0,0.0,602.8,113.6,5.0,602.0,113.0,605.0,115.0
34,0,35,0,Plaques,1.0,0.0,812.0,114.0,9.0,811.0,113.0,814.0,116.0
35,0,36,0,Plaques,1.0,0.0,452.2,114.6,5.0,451.0,114.0,454.0,116.0
36,0,37,0,Plaques,1.0,0.0,468.0,115.0,9.0,467.0,114.0,470.0,117.0
37,0,38,0,Plaques,1.0,0.0,512.5,115.0,6.0,512.0,114.0,514.0,117.0
38,0,39,0,Plaques,1.0,0.0,562.1667,115.166664,6.0,561.0,114.0,564.0,117.0
39,0,40,0,Plaques,1.0,0.0,694.8,115.0,10.0,693.0,114.0,697.0,117.0
40,0,41,0,Plaques,1.0,0.0,546.1818,117.90909,11.0,545.0,116.0,548.0,121.0
41,0,42,0,Plaques,1.0,0.0,664.6667,117.44444,9.0,663.0,116.0,667.0,120.0
42,0,43,0,Plaques,1.0,0.0,594.0,118.0,9.0,593.0,117.0,596.0,120.0
43,0,44,0,Plaques,1.0,0.0,612.0,117.5,6.0,611.0,117.0,614.0,119.0
44,0,45,0,Plaques,1.0,0.0,681.8333,117.833336,6.0,681.0,117.0,684.0,120.0
45,0,46,0,Plaques,1.0,0.0,598.4,118.8,5.0,598.0,118.0,600.0,121.0
46,0,47,0,Plaques,1.0,0.0,437.33334,119.666664,3.0,437.0,119.0,439.0,121.0
47,0,48,0,Plaques,1.0,0.0,496.95456,121.27273,22.0,495.0,119.0,500.0,124.0
48,0,49,0,Plaques,1.0,0.0,538.2857,120.42857,7.0,537.0,119.0,540.0,123.0
49,0,50,0,Plaques,1.0,0.0,816.5,120.0,8.0,815.0,119.0,819.0,122.0
50,0,51,0,Plaques,1.0,0.0,448.0,120.75,4.0,447.0,120.0,450.0,122.0
51,0,52,0,Plaques,1.0,0.0,568.8333,120.833336,6.0,568.0,120.0,571.0,123.0
52,0,53,0,Plaques,1.0,0.0,855.3333,120.666664,3.0,855.0,120.0,857.0,122.0
53,0,54,0,Plaques,1.0,0.0,787.0,121.5,6.0,786.0,121.0,789.0,123.0
