object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,1324.5,0.5,4.0,1324.0,0.0,1326.0,2.0
1,0,2,0,Plaques,1.0,0.0,815.5,2.0,4.0,814.0,2.0,818.0,3.0
2,0,3,0,Plaques,1.0,0.0,989.0,2.0,3.0,988.0,2.0,991.0,3.0
3,0,4,0,Plaques,1.0,0.0,1006.5,2.0,6.0,1004.0,2.0,1010.0,3.0
4,0,5,0,Plaques,1.0,0.0,1090.8334,2.3333333,12.0,1087.0,2.0,1095.0,4.0
5,0,6,0,Plaques,1.0,0.0,1108.5,2.0,4.0,1107.0,2.0,1111.0,3.0
6,0,7,0,Plaques,1.0,0.0,1368.6,25.2,5.0,1368.0,24.0,1370.0,27.0
7,0,8,0,Plaques,1.0,0.0,1385.6666,25.666666,3.0,1385.0,25.0,1387.0,27.0
8,0,9,0,Plaques,1.0,0.0,1350.0,26.0,3.0,1349.0,26.0,1352.0,27.0
9,0,10,0,Plaques,1.0,0.0,1302.4,28.8,5.0,1302.0,28.0,1304.0,31.0
10,0,11,0,Plaques,1.0,0.0,1330.8334,30.166666,6.0,1330.0,29.0,1333.0,32.0
11,0,12,0,Plaques,1.0,0.0,1296.5,34.0,6.0,1295.0,33.0,1299.0,36.0
12,0,13,0,Plaques,1.0,0.0,1280.8235,46.215687,51.0,1270.0,37.0,1294.0,57.0
13,0,14,0,Plaques,1.0,0.0,1306.7727,40.272728,44.0,1300.0,37.0,1315.0,45.0
14,0,15,0,Plaques,1.0,0.0,1318.8182,39.272728,11.0,1317.0,38.0,1321.0,42.0
15,0,16,0,Plaques,1.0,0.0,1294.9615,50.423077,26.0,1292.0,47.0,1298.0,55.0
16,0,17,0,Plaques,1.0,0.0,1290.0,49.5,4.0,1289.0,49.0,1292.0,51.0
17,0,18,0,Plaques,1.0,0.0,1285.5,52.5,4.0,1285.0,52.0,1287.0,54.0
18,0,19,0,Plaques,1.0,0.0,1290.8462,56.23077,13.0,1289.0,54.0,1293.0,59.0
19,0,20,0,Plaques,1.0,0.0,1267.5,59.0,8.0,1266.0,57.0,1270.0,62.0
20,0,21,0,Plaques,1.0,0.0,1283.375,62.0625,16.0,1282.0,58.0,1286.0,67.0
21,0,22,0,Plaques,1.0,0.0,1276.8889,63.666668,9.0,1276.0,62.0,1279.0,66.0
22,0,23,0,Plaques,1.0,0.0,1271.4,63.8,5.0,1271.0,63.0,1273.0,66.0
23,0,24,0,Plaques,1.0,0.0,1265.7368,74.63158,19.0,1264.0,71.0,1269.0,79.0
24,0,25,0,Plaques,1.0,0.0,1258.5,93.5,4.0,1258.0,93.0,1260.0,95.0
25,0,26,0,Plaques,1.0,0.0,1253.0667,99.4,15.0,1251.0,98.0,1256.0,102.0
26,0,27,0,Plaques,1.0,0.0,1243.4,114.8,5.0,1243.0,114.0,1245.0,117.0
27,0,28,0,Plaques,1.0,0.0,892.619,116.2381,21.0,889.0,115.0,897.0,119.0
28,0,29,0,Plaques,1.0,0.0,879.0,116.0,5.0,877.0,116.0,882.0,117.0
29,0,30,0,Plaques,1.0,0.0,865.9,118.1,10.0,864.0,117.0,869.0,120.0
30,0,31,0,Plaques,1.0,0.0,898.5714,118.14286,7.0,897.0,117.0,901.0,120.0
31,0,32,0,Plaques,1.0,0.0,905.0,120.28571,7.0,904.0,119.0,907.0,122.0
32,0,33,0,Plaques,1.0,0.0,911.0,122.28571,7.0,910.0,121.0,913.0,124.0
33,0,34,0,Plaques,1.0,0.0,869.6667,123.333336,3.0,869.0,123.0,871.0,125.0
34,0,35,0,Plaques,1.0,0.0,916.8333,124.166664,6.0,916.0,123.0,919.0,126.0
35,0,36,0,Plaques,1.0,0.0,1236.6666,124.666664,3.0,1236.0,124.0,1238.0,126.0
36,0,37,0,Plaques,1.0,0.0,886.5,125.5,4.0,886.0,125.0,888.0,127.0
37,0,38,0,Plaques,1.0,0.0,923.2,126.4,5.0,922.0,126.0,925.0,128.0
38,0,39,0,Plaques,1.0,0.0,930.8333,128.16667,6.0,930.0,127.0,933.0,130.0
39,0,40,0,Plaques,1.0,0.0,940.0,130.0,3.0,939.0,130.0,942.0,131.0
40,0,41,0,Plaques,1.0,0.0,949.0,132.25,4.0,948.0,132.0,951.0,134.0
