object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,1117.75,90.0,4.0,1117.0,89.0,1119.0,92.0
1,0,2,0,Plaques,1.0,0.0,947.3333,179.33333,3.0,947.0,179.0,949.0,181.0
2,0,3,0,Plaques,1.0,0.0,370.8,288.6,5.0,370.0,288.0,373.0,290.0
3,0,4,0,Plaques,1.0,0.0,340.97437,298.71796,39.0,338.0,295.0,346.0,303.0
4,0,5,0,Plaques,1.0,0.0,360.0,296.0,9.0,359.0,295.0,362.0,298.0
5,0,6,0,Plaques,1.0,0.0,1398.2,455.4,5.0,1397.0,455.0,1400.0,457.0
6,0,7,0,Plaques,1.0,0.0,1402.3334,456.33334,3.0,1402.0,456.0,1404.0,458.0
7,0,8,0,Plaques,1.0,0.0,225.63637,958.63635,11.0,224.0,957.0,228.0,961.0
8,0,9,0,Plaques,1.0,0.0,224.66667,965.6667,3.0,224.0,965.0,226.0,967.0
9,0,10,0,Plaques,1.0,0.0,1214.6923,967.0,13.0,1213.0,966.0,1218.0,969.0
10,0,11,0,Plaques,1.0,0.0,1221.0,966.5,4.0,1220.0,966.0,1223.0,968.0
11,0,12,0,Plaques,1.0,0.0,375.47726,982.5227,44.0,374.0,977.0,378.0,990.0
12,0,13,0,Plaques,1.0,0.0,272.66666,978.6667,3.0,272.0,978.0,274.0,980.0
13,0,14,0,Plaques,1.0,0.0,386.45456,978.5455,11.0,384.0,978.0,390.0,980.0
14,0,15,0,Plaques,1.0,0.0,397.125,987.125,8.0,396.0,986.0,399.0,989.0
15,0,16,0,Plaques,1.0,0.0,401.02777,1001.94446,36.0,396.0,998.0,407.0,1007.0
16,0,17,0,Plaques,1.0,0.0,365.33334,1010.6667,3.0,365.0,1010.0,367.0,1012.0
17,0,18,0,Plaques,1.0,0.0,405.33334,1011.6667,3.0,405.0,1011.0,407.0,1013.0
18,0,19,0,Plaques,1.0,0.0,362.0,1013.5,8.0,361.0,1012.0,364.0,1016.0
19,0,20,0,Plaques,1.0,0.0,368.36365,1018.0909,11.0,367.0,1016.0,370.0,1021.0
20,0,21,0,Plaques,1.0,0.0,402.0,1027.0,7.0,401.0,1026.0,404.0,1029.0
21,0,22,0,Plaques,1.0,0.0,395.63635,1067.6364,22.0,392.0,1065.0,400.0,1071.0
