object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,1280.625,84.625,8.0,1279.0,84.0,1284.0,86.0
1,0,2,0,Plaques,1.0,0.0,636.5,91.5,4.0,636.0,91.0,638.0,93.0
2,0,3,0,Plaques,1.0,0.0,1274.7084,97.041664,24.0,1272.0,95.0,1278.0,100.0
3,0,4,0,Plaques,1.0,0.0,679.6667,96.666664,3.0,679.0,96.0,681.0,98.0
4,0,5,0,Plaques,1.0,0.0,690.5,96.5,4.0,690.0,96.0,692.0,98.0
5,0,6,0,Plaques,1.0,0.0,661.5,97.5,4.0,661.0,97.0,663.0,99.0
6,0,7,0,Plaques,1.0,0.0,657.8333,102.833336,6.0,657.0,102.0,660.0,105.0
7,0,8,0,Plaques,1.0,0.0,663.6667,103.333336,3.0,663.0,103.0,665.0,105.0
8,0,9,0,Plaques,1.0,0.0,675.6667,103.333336,3.0,675.0,103.0,677.0,105.0
9,0,10,0,Plaques,1.0,0.0,645.3333,105.333336,3.0,645.0,105.0,647.0,107.0
10,0,11,0,Plaques,1.0,0.0,1271.6364,106.09091,11.0,1270.0,105.0,1274.0,108.0
11,0,12,0,Plaques,1.0,0.0,697.0,109.75,4.0,696.0,109.0,699.0,111.0
12,0,13,0,Plaques,1.0,0.0,674.93335,112.2,15.0,673.0,110.0,678.0,115.0
13,0,14,0,Plaques,1.0,0.0,645.8333,113.166664,6.0,645.0,112.0,648.0,115.0
14,0,15,0,Plaques,1.0,0.0,650.3333,113.333336,3.0,650.0,113.0,652.0,115.0
15,0,16,0,Plaques,1.0,0.0,693.4,116.2,5.0,693.0,115.0,695.0,118.0
16,0,17,0,Plaques,1.0,0.0,660.3333,117.111115,9.0,659.0,116.0,663.0,119.0
17,0,18,0,Plaques,1.0,0.0,483.5,117.5,4.0,483.0,117.0,485.0,119.0
18,0,19,0,Plaques,1.0,0.0,668.9091,118.36364,11.0,668.0,117.0,671.0,121.0
19,0,20,0,Plaques,1.0,0.0,677.94116,120.35294,17.0,677.0,118.0,680.0,124.0
20,0,21,0,Plaques,1.0,0.0,687.0,120.5,16.0,686.0,118.0,689.0,124.0
21,0,22,0,Plaques,1.0,0.0,466.2857,121.0,7.0,465.0,120.0,468.0,123.0
22,0,23,0,Plaques,1.0,0.0,489.83334,120.833336,6.0,489.0,120.0,492.0,123.0
23,0,24,0,Plaques,1.0,0.0,640.0,121.5,6.0,639.0,121.0,642.0,123.0
24,0,25,0,Plaques,1.0,0.0,653.6774,125.354836,31.0,651.0,122.0,658.0,129.0
25,0,26,0,Plaques,1.0,0.0,459.875,123.875,8.0,459.0,123.0,462.0,126.0
26,0,27,0,Plaques,1.0,0.0,632.1111,124.888885,18.0,630.0,123.0,635.0,128.0
27,0,28,0,Plaques,1.0,0.0,681.5,124.0,6.0,681.0,123.0,683.0,126.0
28,0,29,0,Plaques,1.0,0.0,463.4,126.2,5.0,463.0,125.0,465.0,128.0
29,0,30,0,Plaques,1.0,0.0,449.0,126.5,6.0,448.0,126.0,451.0,128.0
