object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,982.00665,44.07947,151.0,965.0,36.0,1010.0,57.0
1,0,2,0,Plaques,1.0,0.0,930.4828,69.43535,464.0,892.0,39.0,975.0,96.0
2,0,3,0,Plaques,1.0,0.0,1028.6117,41.932037,103.0,1010.0,39.0,1048.0,47.0
3,0,4,0,Plaques,1.0,0.0,1005.5,43.0,8.0,1004.0,42.0,1008.0,45.0
4,0,5,0,Plaques,1.0,0.0,992.76,46.64,25.0,989.0,44.0,997.0,51.0
5,0,6,0,Plaques,1.0,0.0,1053.0,45.0,3.0,1052.0,45.0,1055.0,46.0
6,0,7,0,Plaques,1.0,0.0,982.46155,48.153847,13.0,981.0,47.0,985.0,51.0
7,0,8,0,Plaques,1.0,0.0,1004.6429,52.535713,28.0,1002.0,47.0,1009.0,58.0
8,0,9,0,Plaques,1.0,0.0,1017.8,47.4,5.0,1017.0,47.0,1020.0,49.0
9,0,10,0,Plaques,1.0,0.0,1015.6667,49.333332,3.0,1015.0,49.0,1017.0,51.0
10,0,11,0,Plaques,1.0,0.0,1009.7143,51.0,7.0,1009.0,50.0,1012.0,53.0
11,0,12,0,Plaques,1.0,0.0,1021.23334,54.466667,30.0,1019.0,50.0,1026.0,61.0
12,0,13,0,Plaques,1.0,0.0,1059.8889,52.22222,9.0,1058.0,51.0,1062.0,54.0
13,0,14,0,Plaques,1.0,0.0,1046.5,52.875,8.0,1045.0,52.0,1049.0,55.0
14,0,15,0,Plaques,1.0,0.0,993.2963,55.296295,27.0,990.0,53.0,997.0,59.0
15,0,16,0,Plaques,1.0,0.0,1030.5,55.5,4.0,1030.0,55.0,1032.0,57.0
16,0,17,0,Plaques,1.0,0.0,1061.4286,56.285713,7.0,1061.0,55.0,1063.0,59.0
17,0,18,0,Plaques,1.0,0.0,984.625,60.1875,16.0,983.0,58.0,987.0,63.0
18,0,19,0,Plaques,1.0,0.0,1000.3333,59.0,9.0,999.0,58.0,1003.0,61.0
19,0,20,0,Plaques,1.0,0.0,1044.5,59.0,6.0,1044.0,58.0,1046.0,61.0
20,0,21,0,Plaques,1.0,0.0,1008.1429,60.666668,21.0,1004.0,59.0,1014.0,63.0
21,0,22,0,Plaques,1.0,0.0,1043.8702,72.07633,131.0,1035.0,59.0,1051.0,89.0
22,0,23,0,Plaques,1.0,0.0,967.6667,60.333332,3.0,967.0,60.0,969.0,62.0
23,0,24,0,Plaques,1.0,0.0,1025.0358,62.32143,28.0,1022.0,60.0,1029.0,67.0
24,0,25,0,Plaques,1.0,0.0,1034.6923,68.76923,52.0,1030.0,62.0,1040.0,78.0
25,0,26,0,Plaques,1.0,0.0,938.25,64.583336,12.0,937.0,63.0,941.0,67.0
26,0,27,0,Plaques,1.0,0.0,1061.625,64.25,8.0,1061.0,63.0,1064.0,67.0
27,0,28,0,Plaques,1.0,0.0,1009.7143,65.57143,7.0,1008.0,65.0,1012.0,67.0
28,0,29,0,Plaques,1.0,0.0,972.6071,68.39286,28.0,970.0,66.0,977.0,72.0
29,0,30,0,Plaques,1.0,0.0,933.875,68.5,8.0,933.0,67.0,936.0,71.0
30,0,31,0,Plaques,1.0,0.0,1003.0909,68.818184,11.0,1001.0,68.0,1006.0,71.0
31,0,32,0,Plaques,1.0,0.0,1063.6136,73.59091,44.0,1060.0,68.0,1068.0,80.0
32,0,33,0,Plaques,1.0,0.0,947.3077,71.76923,26.0,944.0,70.0,951.0,75.0
33,0,34,0,Plaques,1.0,0.0,1023.6,70.8,5.0,1023.0,70.0,1025.0,73.0
34,0,35,0,Plaques,1.0,0.0,989.5,72.5,10.0,988.0,71.0,992.0,75.0
35,0,36,0,Plaques,1.0,0.0,953.8333,72.833336,6.0,953.0,72.0,956.0,75.0
36,0,37,0,Plaques,1.0,0.0,980.9545,73.40909,22.0,977.0,72.0,985.0,76.0
37,0,38,0,Plaques,1.0,0.0,1031.3636,75.09091,33.0,1027.0,72.0,1037.0,80.0
38,0,39,0,Plaques,1.0,0.0,961.1,75.3,10.0,960.0,74.0,964.0,78.0
39,0,40,0,Plaques,1.0,0.0,1000.5,75.5,10.0,999.0,74.0,1003.0,78.0
40,0,41,0,Plaques,1.0,0.0,936.4,78.68,25.0,934.0,75.0,939.0,83.0
41,0,42,0,Plaques,1.0,0.0,1008.25,76.0,4.0,1008.0,75.0,1010.0,78.0
42,0,43,0,Plaques,1.0,0.0,1012.5,77.0,8.0,1011.0,76.0,1015.0,79.0
43,0,44,0,Plaques,1.0,0.0,1058.651,89.04027,149.0,1053.0,76.0,1065.0,106.0
44,0,45,0,Plaques,1.0,0.0,953.0,78.166664,12.0,950.0,77.0,957.0,80.0
45,0,46,0,Plaques,1.0,0.0,971.5,77.5,4.0,971.0,77.0,973.0,79.0
46,0,47,0,Plaques,1.0,0.0,927.25,79.0,4.0,927.0,78.0,929.0,81.0
47,0,48,0,Plaques,1.0,0.0,947.2857,80.0,7.0,946.0,79.0,949.0,82.0
48,0,49,0,Plaques,1.0,0.0,997.2857,80.0,7.0,996.0,79.0,999.0,82.0
49,0,50,0,Plaques,1.0,0.0,963.3333,80.94444,18.0,960.0,80.0,967.0,84.0
50,0,51,0,Plaques,1.0,0.0,993.2778,83.44444,18.0,991.0,81.0,996.0,87.0
51,0,52,0,Plaques,1.0,0.0,984.4,82.8,5.0,984.0,82.0,986.0,85.0
52,0,53,0,Plaques,1.0,0.0,1010.8571,84.07143,14.0,1009.0,82.0,1014.0,87.0
53,0,54,0,Plaques,1.0,0.0,968.5714,84.71429,7.0,968.0,83.0,970.0,87.0
54,0,55,0,Plaques,1.0,0.0,1033.3448,86.93104,29.0,1029.0,83.0,1036.0,91.0
55,0,56,0,Plaques,1.0,0.0,892.6667,84.888885,9.0,891.0,84.0,895.0,87.0
56,0,57,0,Plaques,1.0,0.0,1001.5,84.5,4.0,1001.0,84.0,1003.0,86.0
57,0,58,0,Plaques,1.0,0.0,1020.7778,85.388885,18.0,1019.0,84.0,1024.0,88.0
58,0,59,0,Plaques,1.0,0.0,943.0,86.47059,17.0,941.0,85.0,947.0,89.0
59,0,60,0,Plaques,1.0,0.0,952.25,87.0,8.0,951.0,86.0,955.0,89.0
60,0,61,0,Plaques,1.0,0.0,934.125,87.875,8.0,933.0,87.0,936.0,90.0
61,0,62,0,Plaques,1.0,0.0,974.64703,88.0,17.0,971.0,87.0,980.0,90.0
62,0,63,0,Plaques,1.0,0.0,1047.6666,87.333336,3.0,1047.0,87.0,1049.0,89.0
63,0,64,0,Plaques,1.0,0.0,938.61536,92.38461,13.0,937.0,90.0,941.0,96.0
64,0,65,0,Plaques,1.0,0.0,920.75,92.0,4.0,920.0,91.0,922.0,94.0
65,0,66,0,Plaques,1.0,0.0,946.0,92.21429,14.0,943.0,91.0,950.0,94.0
66,0,67,0,Plaques,1.0,0.0,979.6,91.8,5.0,979.0,91.0,981.0,94.0
67,0,68,0,Plaques,1.0,0.0,1045.5695,108.19722,360.0,1034.0,91.0,1058.0,128.0
68,0,69,0,Plaques,1.0,0.0,985.6,93.8,15.0,984.0,92.0,988.0,97.0
69,0,70,0,Plaques,1.0,0.0,883.8333,98.520836,48.0,881.0,93.0,888.0,108.0
70,0,71,0,Plaques,1.0,0.0,892.2,94.5,10.0,891.0,93.0,894.0,97.0
71,0,72,0,Plaques,1.0,0.0,914.5,95.5,14.0,913.0,93.0,917.0,99.0
72,0,73,0,Plaques,1.0,0.0,931.55554,94.55556,9.0,930.0,93.0,934.0,97.0
73,0,74,0,Plaques,1.0,0.0,991.5,94.0,8.0,990.0,93.0,994.0,96.0
74,0,75,0,Plaques,1.0,0.0,1023.4,94.6,10.0,1022.0,93.0,1026.0,97.0
75,0,76,0,Plaques,1.0,0.0,924.3,95.3,10.0,923.0,94.0,927.0,98.0
76,0,77,0,Plaques,1.0,0.0,1029.3,95.7,10.0,1028.0,94.0,1032.0,98.0
77,0,78,0,Plaques,1.0,0.0,997.2,96.4,5.0,996.0,96.0,999.0,98.0
78,0,79,0,Plaques,1.0,0.0,921.0,97.71429,7.0,920.0,97.0,923.0,100.0
79,0,80,0,Plaques,1.0,0.0,953.7778,98.888885,9.0,953.0,97.0,956.0,101.0
80,0,81,0,Plaques,1.0,0.0,962.5,99.0,6.0,962.0,98.0,964.0,101.0
81,0,82,0,Plaques,1.0,0.0,936.0,100.5,10.0,935.0,99.0,938.0,103.0
82,0,83,0,Plaques,1.0,0.0,914.5455,102.36364,11.0,913.0,101.0,917.0,105.0
83,0,84,0,Plaques,1.0,0.0,1024.8889,103.0,9.0,1024.0,101.0,1027.0,106.0
84,0,85,0,Plaques,1.0,0.0,898.7273,103.27273,11.0,897.0,102.0,901.0,106.0
85,0,86,0,Plaques,1.0,0.0,930.6667,102.888885,9.0,929.0,102.0,933.0,105.0
86,0,87,0,Plaques,1.0,0.0,967.9286,103.78571,14.0,966.0,102.0,971.0,107.0
87,0,88,0,Plaques,1.0,0.0,923.5,103.5,8.0,922.0,103.0,926.0,105.0
88,0,89,0,Plaques,1.0,0.0,945.5,104.0,6.0,945.0,103.0,947.0,106.0
89,0,90,0,Plaques,1.0,0.0,991.6,105.4,15.0,990.0,104.0,994.0,108.0
90,0,91,0,Plaques,1.0,0.0,879.25,106.0,4.0,879.0,105.0,881.0,108.0
91,0,92,0,Plaques,1.0,0.0,893.25,106.0,4.0,893.0,105.0,895.0,108.0
92,0,93,0,Plaques,1.0,0.0,973.9167,106.833336,12.0,973.0,105.0,976.0,110.0
93,0,94,0,Plaques,1.0,0.0,934.5,106.5,8.0,933.0,106.0,937.0,108.0
94,0,95,0,Plaques,1.0,0.0,1003.5,107.0,6.0,1003.0,106.0,1005.0,109.0
95,0,96,0,Plaques,1.0,0.0,1030.875,106.875,8.0,1030.0,106.0,1033.0,109.0
96,0,97,0,Plaques,1.0,0.0,1011.0,108.0,5.0,1010.0,107.0,1013.0,110.0
97,0,98,0,Plaques,1.0,0.0,1021.5,107.5,4.0,1021.0,107.0,1023.0,109.0
98,0,99,0,Plaques,1.0,0.0,1025.9445,110.5,18.0,1025.0,107.0,1028.0,116.0
99,0,100,0,Plaques,1.0,0.0,914.2,108.4,5.0,913.0,108.0,916.0,110.0
