object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1
0,0,1,0,Plaques,1.0,0.0,494.0,26.0,9.0,493.0,25.0,496.0,28.0
1,0,2,0,Plaques,1.0,0.0,461.6,27.2,5.0,461.0,26.0,463.0,29.0
2,0,3,0,Plaques,1.0,0.0,469.0,27.5,12.0,468.0,26.0,471.0,30.0
3,0,4,0,Plaques,1.0,0.0,516.5,31.5,4.0,516.0,31.0,518.0,33.0
4,0,5,0,Plaques,1.0,0.0,510.73334,34.066666,15.0,509.0,32.0,513.0,37.0
5,0,6,0,Plaques,1.0,0.0,772.5,38.5,4.0,772.0,38.0,774.0,40.0
6,0,7,0,Plaques,1.0,0.0,427.0,39.5,6.0,426.0,39.0,429.0,41.0
7,0,8,0,Plaques,1.0,0.0,460.8889,41.666668,9.0,460.0,40.0,463.0,44.0
8,0,9,0,Plaques,1.0,0.0,486.5,40.5,4.0,486.0,40.0,488.0,42.0
9,0,10,0,Plaques,1.0,0.0,480.5,42.5,4.0,480.0,42.0,482.0,44.0
10,0,11,0,Plaques,1.0,0.0,511.5,43.0,14.0,509.0,42.0,515.0,45.0
11,0,12,0,Plaques,1.0,0.0,739.5,43.5,4.0,739.0,43.0,741.0,45.0
12,0,13,0,Plaques,1.0,0.0,750.5,43.5,4.0,750.0,43.0,752.0,45.0
13,0,14,0,Plaques,1.0,0.0,809.3333,44.11111,9.0,808.0,43.0,812.0,46.0
14,0,15,0,Plaques,1.0,0.0,474.0,46.5,10.0,473.0,45.0,476.0,49.0
15,0,16,0,Plaques,1.0,0.0,492.0,47.0,5.0,491.0,46.0,494.0,49.0
16,0,17,0,Plaques,1.0,0.0,501.5,46.5,4.0,501.0,46.0,503.0,48.0
17,0,18,0,Plaques,1.0,0.0,761.0,47.285713,7.0,760.0,46.0,763.0,49.0
18,0,19,0,Plaques,1.0,0.0,776.0,48.5,16.0,774.0,47.0,779.0,51.0
19,0,20,0,Plaques,1.0,0.0,527.3333,48.88889,9.0,526.0,48.0,530.0,51.0
20,0,21,0,Plaques,1.0,0.0,752.3684,51.57895,19.0,750.0,49.0,756.0,55.0
21,0,22,0,Plaques,1.0,0.0,551.63635,50.909092,11.0,550.0,50.0,554.0,53.0
22,0,23,0,Plaques,1.0,0.0,569.6667,50.666668,3.0,569.0,50.0,571.0,52.0
23,0,24,0,Plaques,1.0,0.0,796.125,50.875,8.0,795.0,50.0,798.0,53.0
24,0,25,0,Plaques,1.0,0.0,470.33334,51.333332,3.0,470.0,51.0,472.0,53.0
25,0,26,0,Plaques,1.0,0.0,413.30768,54.076923,13.0,412.0,52.0,416.0,57.0
26,0,27,0,Plaques,1.0,0.0,783.58826,53.882355,17.0,782.0,52.0,786.0,57.0
27,0,28,0,Plaques,1.0,0.0,802.75,53.25,8.0,801.0,52.0,805.0,55.0
28,0,29,0,Plaques,1.0,0.0,855.0,52.75,4.0,854.0,52.0,857.0,54.0
29,0,30,0,Plaques,1.0,0.0,436.66666,53.88889,9.0,435.0,53.0,439.0,56.0
30,0,31,0,Plaques,1.0,0.0,563.6429,54.285713,14.0,561.0,53.0,567.0,56.0
31,0,32,0,Plaques,1.0,0.0,587.875,54.125,8.0,587.0,53.0,590.0,56.0
32,0,33,0,Plaques,1.0,0.0,895.0,53.5,6.0,894.0,53.0,897.0,55.0
33,0,34,0,Plaques,1.0,0.0,737.8,55.5,10.0,737.0,54.0,740.0,58.0
34,0,35,0,Plaques,1.0,0.0,759.0,54.75,4.0,758.0,54.0,761.0,56.0
35,0,36,0,Plaques,1.0,0.0,766.5,55.5,14.0,765.0,54.0,769.0,58.0
36,0,37,0,Plaques,1.0,0.0,538.4167,56.75,12.0,537.0,55.0,541.0,59.0
37,0,38,0,Plaques,1.0,0.0,706.0,55.5,6.0,705.0,55.0,708.0,57.0
38,0,39,0,Plaques,1.0,0.0,461.875,57.125,8.0,461.0,56.0,464.0,59.0
39,0,40,0,Plaques,1.0,0.0,729.0,57.285713,7.0,728.0,56.0,731.0,59.0
40,0,41,0,Plaques,1.0,0.0,323.33334,57.333332,3.0,323.0,57.0,325.0,59.0
41,0,42,0,Plaques,1.0,0.0,444.5,57.5,4.0,444.0,57.0,446.0,59.0
42,0,43,0,Plaques,1.0,0.0,510.21738,58.913044,23.0,508.0,57.0,514.0,62.0
43,0,44,0,Plaques,1.0,0.0,577.0,58.0,9.0,576.0,57.0,579.0,60.0
44,0,45,0,Plaques,1.0,0.0,698.0,57.25,4.0,697.0,57.0,700.0,59.0
45,0,46,0,Plaques,1.0,0.0,744.625,58.75,8.0,744.0,57.0,747.0,61.0
46,0,47,0,Plaques,1.0,0.0,863.5,58.0,6.0,863.0,57.0,865.0,60.0
47,0,48,0,Plaques,1.0,0.0,888.5,57.5,4.0,888.0,57.0,890.0,59.0
48,0,49,0,Plaques,1.0,0.0,899.125,58.25,8.0,898.0,57.0,901.0,61.0
49,0,50,0,Plaques,1.0,0.0,410.0,59.0,9.0,409.0,58.0,412.0,61.0
50,0,51,0,Plaques,1.0,0.0,453.42856,59.714287,7.0,453.0,58.0,455.0,62.0
51,0,52,0,Plaques,1.0,0.0,526.3333,59.333332,3.0,526.0,59.0,528.0,61.0
52,0,53,0,Plaques,1.0,0.0,545.6,60.2,5.0,545.0,59.0,547.0,62.0
53,0,54,0,Plaques,1.0,0.0,761.1,60.8,10.0,760.0,59.0,763.0,63.0
54,0,55,0,Plaques,1.0,0.0,423.14285,62.785713,14.0,422.0,60.0,425.0,66.0
55,0,56,0,Plaques,1.0,0.0,433.66666,61.11111,9.0,432.0,60.0,436.0,63.0
56,0,57,0,Plaques,1.0,0.0,521.3333,60.88889,9.0,520.0,60.0,524.0,63.0
57,0,58,0,Plaques,1.0,0.0,531.8333,61.166668,6.0,531.0,60.0,534.0,63.0
58,0,59,0,Plaques,1.0,0.0,567.5,60.5,4.0,567.0,60.0,569.0,62.0
59,0,60,0,Plaques,1.0,0.0,583.5,61.0,6.0,583.0,60.0,585.0,63.0
60,0,61,0,Plaques,1.0,0.0,353.2143,62.357143,14.0,351.0,61.0,356.0,65.0
61,0,62,0,Plaques,1.0,0.0,396.2,61.4,5.0,395.0,61.0,398.0,63.0
62,0,63,0,Plaques,1.0,0.0,472.8,62.9,20.0,471.0,61.0,476.0,66.0
63,0,64,0,Plaques,1.0,0.0,718.5,61.5,4.0,718.0,61.0,720.0,63.0
64,0,65,0,Plaques,1.0,0.0,735.7895,63.36842,19.0,734.0,61.0,739.0,66.0
65,0,66,0,Plaques,1.0,0.0,749.38464,62.615383,13.0,748.0,61.0,752.0,65.0
66,0,67,0,Plaques,1.0,0.0,788.1111,63.5,18.0,787.0,61.0,791.0,68.0
67,0,68,0,Plaques,1.0,0.0,822.5517,63.206898,29.0,819.0,61.0,827.0,66.0
68,0,69,0,Plaques,1.0,0.0,942.125,62.125,8.0,941.0,61.0,944.0,64.0
69,0,70,0,Plaques,1.0,0.0,335.0,63.0,9.0,334.0,62.0,337.0,65.0
70,0,71,0,Plaques,1.0,0.0,366.3,63.7,10.0,365.0,62.0,369.0,66.0
71,0,72,0,Plaques,1.0,0.0,727.8823,63.411766,17.0,726.0,62.0,731.0,66.0
72,0,73,0,Plaques,1.0,0.0,850.5,62.5,4.0,850.0,62.0,852.0,64.0
73,0,74,0,Plaques,1.0,0.0,811.95654,65.608696,23.0,810.0,63.0,815.0,69.0
74,0,75,0,Plaques,1.0,0.0,900.875,63.875,8.0,900.0,63.0,903.0,66.0
75,0,76,0,Plaques,1.0,0.0,950.5,63.5,4.0,950.0,63.0,952.0,65.0
