object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Size in pixels
0,0,1,0,Plaques,1.0,0.0,325.5,427.0,325.0,426.0,327.0,429.0,6.0
1,0,2,0,Plaques,1.0,0.0,304.66666,428.66666,304.0,428.0,306.0,430.0,3.0
2,0,3,0,Plaques,1.0,0.0,318.2,432.4,317.0,432.0,320.0,434.0,5.0
3,0,4,0,Plaques,1.0,0.0,309.5,435.5,309.0,435.0,311.0,437.0,4.0
4,0,5,0,Plaques,1.0,0.0,328.0,442.2857,327.0,441.0,330.0,444.0,7.0
5,0,6,0,Plaques,1.0,0.0,305.1111,448.55554,304.0,447.0,307.0,451.0,9.0
6,0,7,0,Plaques,1.0,0.0,307.75,457.0,307.0,456.0,309.0,459.0,4.0
7,0,8,0,Plaques,1.0,0.0,446.66666,538.3333,446.0,538.0,448.0,540.0,3.0
8,0,9,0,Plaques,1.0,0.0,445.5,552.5,445.0,552.0,447.0,554.0,4.0
9,0,10,0,Plaques,1.0,0.0,427.17648,562.58826,425.0,561.0,431.0,565.0,17.0
10,0,11,0,Plaques,1.0,0.0,193.8,727.6,193.0,727.0,196.0,729.0,5.0
11,0,12,0,Plaques,1.0,0.0,200.88461,729.9231,197.0,728.0,205.0,733.0,26.0
12,0,13,0,Plaques,1.0,0.0,1541.5,744.5,1541.0,744.0,1543.0,746.0,4.0
13,0,14,0,Plaques,1.0,0.0,224.79688,760.5469,213.0,756.0,237.0,766.0,128.0
14,0,15,0,Plaques,1.0,0.0,240.4,760.8,240.0,760.0,242.0,763.0,5.0
15,0,16,0,Plaques,1.0,0.0,238.66667,763.6667,238.0,763.0,240.0,765.0,3.0
16,0,17,0,Plaques,1.0,0.0,242.3077,767.8077,239.0,766.0,246.0,771.0,26.0
17,0,18,0,Plaques,1.0,0.0,224.5,772.5,224.0,772.0,226.0,774.0,4.0
18,0,19,0,Plaques,1.0,0.0,233.5,772.5,232.0,772.0,236.0,774.0,8.0
19,0,20,0,Plaques,1.0,0.0,468.66666,829.13336,467.0,827.0,471.0,832.0,15.0
20,0,21,0,Plaques,1.0,0.0,1219.7651,853.4697,1214.0,832.0,1228.0,876.0,132.0
21,0,22,0,Plaques,1.0,0.0,473.8,837.6,473.0,837.0,476.0,839.0,5.0
22,0,23,0,Plaques,1.0,0.0,475.5,843.5,475.0,843.0,477.0,845.0,4.0
23,0,24,0,Plaques,1.0,0.0,475.75,848.0,475.0,847.0,477.0,850.0,4.0
24,0,25,0,Plaques,1.0,0.0,476.33334,859.5,476.0,858.0,478.0,862.0,6.0
25,0,26,0,Plaques,1.0,0.0,539.6286,865.2286,536.0,858.0,544.0,873.0,35.0
26,0,27,0,Plaques,1.0,0.0,471.0,866.5,470.0,866.0,473.0,868.0,6.0
27,0,28,0,Plaques,1.0,0.0,545.09375,879.53125,543.0,873.0,549.0,886.0,32.0
28,0,29,0,Plaques,1.0,0.0,1213.4,879.8,1213.0,879.0,1215.0,882.0,5.0
29,0,30,0,Plaques,1.0,0.0,1229.3846,895.33844,1220.0,885.0,1238.0,910.0,65.0
30,0,31,0,Plaques,1.0,0.0,550.7143,888.2857,549.0,887.0,553.0,891.0,7.0
31,0,32,0,Plaques,1.0,0.0,556.1539,895.7692,554.0,893.0,559.0,900.0,13.0
32,0,33,0,Plaques,1.0,0.0,1217.0,914.5,1216.0,912.0,1219.0,918.0,10.0
33,0,34,0,Plaques,1.0,0.0,573.9167,921.1667,572.0,919.0,577.0,925.0,12.0
34,0,35,0,Plaques,1.0,0.0,1212.5385,921.8461,1211.0,919.0,1215.0,925.0,13.0
35,0,36,0,Plaques,1.0,0.0,577.6667,927.3333,577.0,927.0,579.0,929.0,3.0
36,0,37,0,Plaques,1.0,0.0,1208.6,929.2,1208.0,928.0,1210.0,931.0,5.0
37,0,38,0,Plaques,1.0,0.0,585.0,938.0526,582.0,933.0,589.0,943.0,19.0
38,0,39,0,Plaques,1.0,0.0,589.6667,944.3333,589.0,944.0,591.0,946.0,3.0
39,0,40,0,Plaques,1.0,0.0,595.5,952.5,595.0,951.0,597.0,955.0,6.0
40,0,41,0,Plaques,1.0,0.0,601.6667,969.68256,598.0,958.0,606.0,981.0,63.0
41,0,42,0,Plaques,1.0,0.0,1260.0,1153.5555,1259.0,1151.0,1262.0,1157.0,9.0
42,0,43,0,Plaques,1.0,0.0,495.5,1343.0,495.0,1342.0,497.0,1345.0,6.0
43,0,44,0,Plaques,1.0,0.0,478.25,1346.0,478.0,1345.0,480.0,1348.0,4.0
