object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Size in pixels
0,0,1,0,Plaques,1.0,0.0,1247.3334,61.666668,1247.0,61.0,1249.0,63.0,3.0
1,0,2,0,Plaques,1.0,0.0,1264.625,71.5,1263.0,70.0,1267.0,74.0,8.0
2,0,3,0,Plaques,1.0,0.0,1268.3334,76.666664,1268.0,76.0,1270.0,78.0,3.0
3,0,4,0,Plaques,1.0,0.0,1290.2,81.4,1289.0,81.0,1292.0,83.0,5.0
4,0,5,0,Plaques,1.0,0.0,1224.0,164.0,1223.0,163.0,1226.0,166.0,9.0
5,0,6,0,Plaques,1.0,0.0,1228.0,172.5,1227.0,172.0,1230.0,174.0,6.0
6,0,7,0,Plaques,1.0,0.0,1236.2273,185.59091,1234.0,184.0,1240.0,189.0,22.0
7,0,8,0,Plaques,1.0,0.0,1248.1,199.9,1246.0,199.0,1251.0,202.0,10.0
8,0,9,0,Plaques,1.0,0.0,1027.5,202.5,1027.0,202.0,1029.0,204.0,4.0
9,0,10,0,Plaques,1.0,0.0,1243.125,205.875,1242.0,205.0,1245.0,208.0,8.0
10,0,11,0,Plaques,1.0,0.0,1451.0,208.0,1450.0,207.0,1453.0,210.0,5.0
11,0,12,0,Plaques,1.0,0.0,867.5,229.5,867.0,229.0,869.0,231.0,4.0
12,0,13,0,Plaques,1.0,0.0,902.1579,236.89473,900.0,235.0,905.0,240.0,19.0
13,0,14,0,Plaques,1.0,0.0,888.5,237.5,888.0,237.0,890.0,239.0,4.0
14,0,15,0,Plaques,1.0,0.0,878.0,246.16667,877.0,245.0,880.0,248.0,6.0
15,0,16,0,Plaques,1.0,0.0,861.0,251.0,860.0,250.0,863.0,253.0,5.0
16,0,17,0,Plaques,1.0,0.0,897.9219,261.2578,886.0,250.0,908.0,272.0,256.0
17,0,18,0,Plaques,1.0,0.0,874.5,251.5,874.0,251.0,876.0,253.0,4.0
18,0,19,0,Plaques,1.0,0.0,836.3333,269.33334,836.0,269.0,838.0,271.0,3.0
19,0,20,0,Plaques,1.0,0.0,840.125,274.125,839.0,273.0,842.0,276.0,8.0
20,0,21,0,Plaques,1.0,0.0,796.6667,276.66666,796.0,276.0,798.0,278.0,3.0
21,0,22,0,Plaques,1.0,0.0,788.5,278.5,788.0,278.0,790.0,280.0,4.0
22,0,23,0,Plaques,1.0,0.0,683.3333,293.66666,683.0,293.0,685.0,295.0,3.0
23,0,24,0,Plaques,1.0,0.0,787.2,293.6,786.0,293.0,789.0,295.0,5.0
24,0,25,0,Plaques,1.0,0.0,758.6667,305.66666,758.0,305.0,760.0,307.0,3.0
25,0,26,0,Plaques,1.0,0.0,962.1667,333.16666,961.0,332.0,964.0,335.0,6.0
26,0,27,0,Plaques,1.0,0.0,260.5,396.0,260.0,395.0,262.0,398.0,6.0
27,0,28,0,Plaques,1.0,0.0,1484.5,414.5,1484.0,414.0,1486.0,416.0,4.0
28,0,29,0,Plaques,1.0,0.0,865.3333,448.66666,865.0,448.0,867.0,450.0,3.0
29,0,30,0,Plaques,1.0,0.0,1129.2,453.4,1128.0,453.0,1131.0,455.0,5.0
30,0,31,0,Plaques,1.0,0.0,230.5,459.5,230.0,459.0,232.0,461.0,4.0
31,0,32,0,Plaques,1.0,0.0,1817.5,506.5,1817.0,506.0,1819.0,508.0,4.0
32,0,33,0,Plaques,1.0,0.0,1821.7142,516.0,1821.0,515.0,1824.0,518.0,7.0
33,0,34,0,Plaques,1.0,0.0,1486.2,555.4,1485.0,555.0,1488.0,557.0,5.0
34,0,35,0,Plaques,1.0,0.0,1008.0,559.2857,1007.0,558.0,1010.0,561.0,7.0
35,0,36,0,Plaques,1.0,0.0,1002.5,588.5,1002.0,588.0,1004.0,590.0,4.0
36,0,37,0,Plaques,1.0,0.0,1002.0,595.25,1001.0,595.0,1004.0,597.0,4.0
37,0,38,0,Plaques,1.0,0.0,1829.8334,630.1667,1829.0,629.0,1832.0,632.0,6.0
38,0,39,0,Plaques,1.0,0.0,1829.8,645.4,1829.0,645.0,1832.0,647.0,5.0
39,0,40,0,Plaques,1.0,0.0,963.6667,667.629,958.0,654.0,971.0,682.0,186.0
40,0,41,0,Plaques,1.0,0.0,1585.6666,666.3333,1585.0,666.0,1587.0,668.0,3.0
41,0,42,0,Plaques,1.0,0.0,1080.8,672.6,1080.0,672.0,1083.0,674.0,5.0
42,0,43,0,Plaques,1.0,0.0,61.5,684.5,61.0,684.0,63.0,686.0,4.0
43,0,44,0,Plaques,1.0,0.0,1816.5,731.5,1816.0,731.0,1818.0,733.0,4.0
44,0,45,0,Plaques,1.0,0.0,952.125,733.875,951.0,733.0,954.0,736.0,8.0
45,0,46,0,Plaques,1.0,0.0,953.5,739.5,953.0,739.0,955.0,741.0,4.0
46,0,47,0,Plaques,1.0,0.0,954.0,744.5,953.0,744.0,956.0,746.0,4.0
47,0,48,0,Plaques,1.0,0.0,1817.375,755.0833,1814.0,752.0,1821.0,758.0,24.0
48,0,49,0,Plaques,1.0,0.0,851.3333,798.8889,850.0,798.0,854.0,801.0,9.0
49,0,50,0,Plaques,1.0,0.0,910.5,807.5,910.0,807.0,912.0,809.0,4.0
50,0,51,0,Plaques,1.0,0.0,1143.4,883.2,1143.0,882.0,1145.0,885.0,5.0
51,0,52,0,Plaques,1.0,0.0,1758.6666,901.6667,1758.0,901.0,1760.0,903.0,3.0
52,0,53,0,Plaques,1.0,0.0,1235.88,938.24,1233.0,936.0,1240.0,942.0,25.0
53,0,54,0,Plaques,1.0,0.0,73.5,993.5,73.0,993.0,75.0,995.0,4.0
54,0,55,0,Plaques,1.0,0.0,497.5,999.5,497.0,999.0,499.0,1001.0,4.0
55,0,56,0,Plaques,1.0,0.0,1179.5,1015.5,1179.0,1015.0,1181.0,1017.0,4.0
56,0,57,0,Plaques,1.0,0.0,969.1667,1027.1666,968.0,1026.0,971.0,1029.0,6.0
57,0,58,0,Plaques,1.0,0.0,967.5,1035.5,967.0,1035.0,969.0,1037.0,4.0
58,0,59,0,Plaques,1.0,0.0,328.5,1038.5,327.0,1037.0,331.0,1041.0,10.0
59,0,60,0,Plaques,1.0,0.0,969.5,1054.5,969.0,1054.0,971.0,1056.0,4.0
60,0,61,0,Plaques,1.0,0.0,286.0,1088.5,285.0,1088.0,288.0,1090.0,6.0
61,0,62,0,Plaques,1.0,0.0,279.66666,1092.6666,279.0,1092.0,281.0,1094.0,3.0
62,0,63,0,Plaques,1.0,0.0,261.6,1093.8,261.0,1093.0,263.0,1096.0,5.0
63,0,64,0,Plaques,1.0,0.0,254.0,1099.0,253.0,1098.0,256.0,1101.0,5.0
64,0,65,0,Plaques,1.0,0.0,242.33333,1101.3334,242.0,1101.0,244.0,1103.0,3.0
65,0,66,0,Plaques,1.0,0.0,251.16667,1104.8334,250.0,1104.0,253.0,1107.0,6.0
66,0,67,0,Plaques,1.0,0.0,244.6,1109.2,244.0,1108.0,246.0,1111.0,5.0
67,0,68,0,Plaques,1.0,0.0,238.5,1110.5,238.0,1110.0,240.0,1112.0,4.0
68,0,69,0,Plaques,1.0,0.0,199.6,1123.2,198.0,1123.0,202.0,1125.0,5.0
69,0,70,0,Plaques,1.0,0.0,170.83333,1140.8334,170.0,1140.0,173.0,1143.0,6.0
70,0,71,0,Plaques,1.0,0.0,180.33333,1143.6666,180.0,1143.0,182.0,1145.0,3.0
71,0,72,0,Plaques,1.0,0.0,171.5,1148.5,171.0,1148.0,173.0,1150.0,4.0
72,0,73,0,Plaques,1.0,0.0,1007.3333,1163.6666,1007.0,1163.0,1009.0,1165.0,3.0
73,0,74,0,Plaques,1.0,0.0,1016.6667,1208.6666,1016.0,1208.0,1018.0,1210.0,3.0
74,0,75,0,Plaques,1.0,0.0,1031.6666,1264.3334,1029.0,1263.0,1035.0,1267.0,12.0
75,0,76,0,Plaques,1.0,0.0,1258.5,1273.5,1258.0,1273.0,1260.0,1275.0,4.0
76,0,77,0,Plaques,1.0,0.0,1237.5,1277.5,1237.0,1277.0,1239.0,1279.0,4.0
77,0,78,0,Plaques,1.0,0.0,1155.5,1282.5,1155.0,1282.0,1157.0,1284.0,4.0
78,0,79,0,Plaques,1.0,0.0,1141.2858,1285.0,1140.0,1284.0,1143.0,1287.0,7.0
79,0,80,0,Plaques,1.0,0.0,1149.5,1285.5,1149.0,1285.0,1151.0,1287.0,4.0
80,0,81,0,Plaques,1.0,0.0,811.5,1301.5,811.0,1301.0,813.0,1303.0,4.0
81,0,82,0,Plaques,1.0,0.0,997.2,1301.6,996.0,1301.0,999.0,1303.0,5.0
82,0,83,0,Plaques,1.0,0.0,811.4,1309.8,811.0,1309.0,813.0,1312.0,5.0
83,0,84,0,Plaques,1.0,0.0,642.5,1339.5,642.0,1339.0,644.0,1341.0,4.0
84,0,85,0,Plaques,1.0,0.0,476.5,1357.5,476.0,1357.0,478.0,1359.0,4.0
85,0,86,0,Plaques,1.0,0.0,539.1111,1365.3334,538.0,1364.0,541.0,1368.0,9.0
86,0,87,0,Plaques,1.0,0.0,534.5,1365.5,534.0,1365.0,536.0,1367.0,4.0
87,0,88,0,Plaques,1.0,0.0,585.8,1370.6,585.0,1370.0,588.0,1372.0,5.0
88,0,89,0,Plaques,1.0,0.0,618.2,1377.4,617.0,1377.0,620.0,1379.0,5.0
89,0,90,0,Plaques,1.0,0.0,818.0,1382.5,817.0,1382.0,820.0,1384.0,6.0
90,0,91,0,Plaques,1.0,0.0,1846.6666,1419.6666,1846.0,1419.0,1848.0,1421.0,3.0
