object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Size in pixels
0,0,1,0,Plaques,1.0,0.0,598.0,88.0,597.0,87.0,600.0,90.0,9.0
1,0,2,0,Plaques,1.0,0.0,474.125,146.875,473.0,146.0,476.0,149.0,8.0
2,0,3,0,Plaques,1.0,0.0,1296.909,157.36363,1296.0,156.0,1299.0,160.0,11.0
3,0,4,0,Plaques,1.0,0.0,355.4,231.2,355.0,230.0,357.0,233.0,5.0
4,0,5,0,Plaques,1.0,0.0,322.4,241.8,322.0,241.0,324.0,244.0,5.0
5,0,6,0,Plaques,1.0,0.0,224.66667,286.33334,224.0,286.0,226.0,288.0,3.0
6,0,7,0,Plaques,1.0,0.0,567.1667,291.16666,566.0,290.0,569.0,293.0,6.0
7,0,8,0,Plaques,1.0,0.0,1564.5,301.0,1564.0,300.0,1566.0,303.0,6.0
8,0,9,0,Plaques,1.0,0.0,547.5,311.5,547.0,311.0,549.0,313.0,4.0
9,0,10,0,Plaques,1.0,0.0,2232.3333,324.33334,2232.0,324.0,2234.0,326.0,3.0
10,0,11,0,Plaques,1.0,0.0,251.5,337.5,251.0,337.0,253.0,339.0,4.0
11,0,12,0,Plaques,1.0,0.0,243.0,341.2857,242.0,340.0,245.0,343.0,7.0
12,0,13,0,Plaques,1.0,0.0,250.54546,346.0,249.0,344.0,253.0,349.0,11.0
13,0,14,0,Plaques,1.0,0.0,1906.3334,348.33334,1906.0,348.0,1908.0,350.0,3.0
14,0,15,0,Plaques,1.0,0.0,447.16666,349.83334,446.0,349.0,449.0,352.0,6.0
15,0,16,0,Plaques,1.0,0.0,246.875,351.125,246.0,350.0,249.0,353.0,8.0
16,0,17,0,Plaques,1.0,0.0,256.66666,355.66666,256.0,355.0,258.0,357.0,3.0
17,0,18,0,Plaques,1.0,0.0,228.66667,371.33334,228.0,371.0,230.0,373.0,3.0
18,0,19,0,Plaques,1.0,0.0,1743.875,377.125,1743.0,376.0,1746.0,379.0,8.0
19,0,20,0,Plaques,1.0,0.0,225.5,387.5,225.0,387.0,227.0,389.0,4.0
20,0,21,0,Plaques,1.0,0.0,189.5,430.5,189.0,430.0,191.0,432.0,4.0
21,0,22,0,Plaques,1.0,0.0,198.2,438.6,197.0,438.0,200.0,440.0,5.0
22,0,23,0,Plaques,1.0,0.0,138.0,468.5,137.0,468.0,140.0,470.0,4.0
23,0,24,0,Plaques,1.0,0.0,206.16667,474.16666,205.0,473.0,208.0,476.0,6.0
24,0,25,0,Plaques,1.0,0.0,98.6,480.8,98.0,480.0,100.0,483.0,5.0
25,0,26,0,Plaques,1.0,0.0,89.666664,496.33334,89.0,496.0,91.0,498.0,3.0
26,0,27,0,Plaques,1.0,0.0,178.5,499.5,178.0,499.0,180.0,501.0,4.0
27,0,28,0,Plaques,1.0,0.0,235.71428,511.7143,234.0,511.0,238.0,514.0,7.0
28,0,29,0,Plaques,1.0,0.0,334.5,527.5,334.0,527.0,336.0,529.0,4.0
29,0,30,0,Plaques,1.0,0.0,277.5,534.5,277.0,534.0,279.0,536.0,4.0
30,0,31,0,Plaques,1.0,0.0,79.333336,547.6667,79.0,547.0,81.0,549.0,3.0
31,0,32,0,Plaques,1.0,0.0,267.33334,548.6667,267.0,548.0,269.0,550.0,3.0
32,0,33,0,Plaques,1.0,0.0,277.33334,558.3333,277.0,558.0,279.0,560.0,3.0
33,0,34,0,Plaques,1.0,0.0,1931.375,564.375,1930.0,563.0,1934.0,567.0,8.0
34,0,35,0,Plaques,1.0,0.0,166.5,565.5,166.0,565.0,168.0,567.0,4.0
35,0,36,0,Plaques,1.0,0.0,1943.0,569.75,1942.0,569.0,1945.0,571.0,4.0
36,0,37,0,Plaques,1.0,0.0,268.875,571.875,268.0,571.0,271.0,574.0,8.0
37,0,38,0,Plaques,1.0,0.0,2314.5,576.5,2314.0,576.0,2316.0,578.0,4.0
38,0,39,0,Plaques,1.0,0.0,2321.0,599.0,2320.0,598.0,2323.0,601.0,9.0
39,0,40,0,Plaques,1.0,0.0,2419.5,598.5,2419.0,598.0,2421.0,600.0,4.0
40,0,41,0,Plaques,1.0,0.0,256.5,602.5,256.0,602.0,258.0,604.0,4.0
41,0,42,0,Plaques,1.0,0.0,2335.8,609.4,2335.0,609.0,2338.0,611.0,5.0
42,0,43,0,Plaques,1.0,0.0,63.833332,614.1667,63.0,613.0,66.0,616.0,6.0
