object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Plaques,Probability of not plaques,Center of the object_0,Center of the object_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Size in pixels
0,0,1,0,Plaques,1.0,0.0,422.33334,42.666668,422.0,42.0,424.0,44.0,3.0
1,0,2,0,Plaques,1.0,0.0,676.6667,46.833332,676.0,45.0,678.0,49.0,6.0
2,0,3,0,Plaques,1.0,0.0,527.8,57.4,527.0,57.0,530.0,59.0,5.0
3,0,4,0,Plaques,1.0,0.0,571.7143,82.0,571.0,81.0,574.0,84.0,7.0
4,0,5,0,Plaques,1.0,0.0,765.3333,102.666664,765.0,102.0,767.0,104.0,3.0
5,0,6,0,Plaques,1.0,0.0,441.8,113.4,441.0,113.0,444.0,115.0,5.0
6,0,7,0,Plaques,1.0,0.0,923.5,116.0,923.0,115.0,925.0,118.0,6.0
7,0,8,0,Plaques,1.0,0.0,866.3,123.7,865.0,122.0,869.0,126.0,10.0
8,0,9,0,Plaques,1.0,0.0,425.33334,130.66667,425.0,130.0,427.0,132.0,3.0
9,0,10,0,Plaques,1.0,0.0,421.0,136.5,420.0,136.0,423.0,138.0,6.0
10,0,11,0,Plaques,1.0,0.0,829.5,146.0,829.0,145.0,831.0,148.0,6.0
11,0,12,0,Plaques,1.0,0.0,946.5,145.5,946.0,145.0,948.0,147.0,4.0
12,0,13,0,Plaques,1.0,0.0,953.0,148.28572,952.0,147.0,955.0,150.0,7.0
13,0,14,0,Plaques,1.0,0.0,171.5,170.5,171.0,170.0,173.0,172.0,4.0
14,0,15,0,Plaques,1.0,0.0,989.2,175.4,988.0,175.0,991.0,177.0,5.0
15,0,16,0,Plaques,1.0,0.0,946.0,178.0,945.0,177.0,948.0,180.0,5.0
16,0,17,0,Plaques,1.0,0.0,982.1667,178.16667,981.0,177.0,984.0,180.0,6.0
17,0,18,0,Plaques,1.0,0.0,941.6667,181.66667,941.0,181.0,943.0,183.0,3.0
18,0,19,0,Plaques,1.0,0.0,948.9167,183.75,947.0,183.0,952.0,186.0,12.0
19,0,20,0,Plaques,1.0,0.0,185.64285,185.78572,184.0,184.0,188.0,189.0,14.0
20,0,21,0,Plaques,1.0,0.0,939.1818,194.59091,936.0,191.0,943.0,199.0,44.0
21,0,22,0,Plaques,1.0,0.0,176.5,192.5,176.0,192.0,178.0,194.0,4.0
22,0,23,0,Plaques,1.0,0.0,953.8333,193.83333,953.0,193.0,956.0,196.0,6.0
23,0,24,0,Plaques,1.0,0.0,180.5,198.5,180.0,198.0,182.0,200.0,4.0
24,0,25,0,Plaques,1.0,0.0,945.0,200.0,944.0,199.0,947.0,202.0,5.0
25,0,26,0,Plaques,1.0,0.0,177.66667,200.33333,177.0,200.0,179.0,202.0,3.0
