Object_Label,Origin,Section,tissue_area_px
WT_control_cerebellum_4x_01.tif,control,cerebellum,18647800
WT_control_cerebellum_4x_02.tif,control,cerebellum,84122850
WT_control_cerebellum_4x_03.tif,control,cerebellum,62192675
WT_control_cerebellum_4x_04.tif,control,cerebellum,60934200
WT_control_cerebellum_4x_05.tif,control,cerebellum,14249400
WT_control_cerebellum_4x_06.tif,control,cerebellum,37832975
WT_control_cerebellum_4x_07.tif,control,cerebellum,78917800
WT_control_cerebellum_4x_08.tif,control,cerebellum,74841900
WT_control_cerebellum_4x_09.tif,control,cerebellum,73620250
WT_control_cerebellum_4x_10.tif,control,cerebellum,62300875
WT_control_cerebellum_4x_11.tif,control,cerebellum,53281600
WT_control_cerebellum_4x_12.tif,control,cerebellum,63494475
WT_control_cerebellum_4x_13.tif,control,cerebellum,79532300
WT_control_cerebellum_4x_14.tif,control,cerebellum,39677900
WT_control_cerebellum_4x_15.tif,control,cerebellum,38152700
WT_control_cerebellum_4x_16.tif,control,cerebellum,38696325
WT_control_cerebellum_4x_17.tif,control,cerebellum,37740150
WT_control_cerebellum_4x_18.tif,control,cerebellum,67053450
WT_control_cerebellum_4x_19.tif,control,cerebellum,16623125
WT_control_cerebellum_4x_20.tif,control,cerebellum,21016750
WT_control_cerebellum_4x_21.tif,control,cerebellum,19389525
WT_control_cerebellum_4x_22.tif,control,cerebellum,16169075
WT_control_cerebellum_4x_23.tif,control,cerebellum,23296875
WT_control_cerebellum_4x_24.tif,control,cerebellum,37458000
WT_control_cerebellum_4x_25.tif,control,cerebellum,37754000
WT_control_cerebellum_4x_26.tif,control,cerebellum,51403825
WT_control_cerebellum_4x_27.tif,control,cerebellum,42949025
WT_control_cerebellum_4x_28.tif,control,cerebellum,46873650
WT_control_cerebellum_4x_29.tif,control,cerebellum,41645500
WT_control_cerebellum_4x_30.tif,control,cerebellum,38331700
WT_control_cerebellum_4x_31.tif,control,cerebellum,23365875
WT_control_cerebellum_4x_32.tif,control,cerebellum,18321375
WT_control_cerebellum_4x_33.tif,control,cerebellum,76652525
WT_control_cerebellum_4x_34.tif,control,cerebellum,30760825
WT_control_cerebellum_4x_35.tif,control,cerebellum,32497850
WT_control_cerebellum_4x_36.tif,control,cerebellum,20094400
WT_control_cerebellum_4x_37.tif,control,cerebellum,13949800
WT_control_cerebellum_4x_38.tif,control,cerebellum,35938100
WT_control_cerebellum_4x_39.tif,control,cerebellum,9257625
WT_control_cerebellum_4x_40.tif,control,cerebellum,37163250
WT_control_cerebellum_4x_41.tif,control,cerebellum,34429425
WT_control_cerebellum_4x_42.tif,control,cerebellum,98356000
WT_control_cerebellum_4x_43.tif,control,cerebellum,46339925
WT_control_cerebellum_4x_44.tif,control,cerebellum,198800
WT_control_cerebellum_4x_45.tif,control,cerebellum,79683700
WT_control_cerebellum_4x_46.tif,control,cerebellum,68554900
