filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
GtDeer_treatment_cerebellum_4x_01.tif,35988475,899711875,899.7119
GtDeer_treatment_cerebellum_4x_02.tif,38204700,955117500,955.1175
GtDeer_treatment_cerebellum_4x_03.tif,62316950,1557923750,1557.9237
GtDeer_treatment_cerebellum_4x_04.tif,36124800,903120000,903.12
GtDeer_treatment_cerebellum_4x_05.tif,32546125,813653125,813.6531
GtDeer_treatment_cerebellum_4x_06.tif,61669275,1541731875,1541.7319
GtDeer_treatment_cerebellum_4x_07.tif,49378825,1234470625,1234.4706
GtDeer_treatment_cerebellum_4x_08.tif,45537300,1138432500,1138.4325
GtDeer_treatment_cerebellum_4x_09.tif,44040650,1101016250,1101.0162
GtDeer_treatment_cerebellum_4x_10.tif,40232500,1005812500,1005.8125
GtDeer_treatment_cerebellum_4x_100.tif,45583425,1139585625,1139.5856
GtDeer_treatment_cerebellum_4x_101.tif,29715775,742894375,742.8944
GtDeer_treatment_cerebellum_4x_102.tif,36083425,902085625,902.0856
GtDeer_treatment_cerebellum_4x_103.tif,50562175,1264054375,1264.0544
GtDeer_treatment_cerebellum_4x_104.tif,44571450,1114286250,1114.2863
GtDeer_treatment_cerebellum_4x_105.tif,44124775,1103119375,1103.1194
GtDeer_treatment_cerebellum_4x_106.tif,51825725,1295643125,1295.6431
GtDeer_treatment_cerebellum_4x_107.tif,32549700,813742500,813.7425
GtDeer_treatment_cerebellum_4x_108.tif,34356250,858906250,858.9062
GtDeer_treatment_cerebellum_4x_109.tif,42487475,1062186875,1062.1869
GtDeer_treatment_cerebellum_4x_11.tif,35845075,896126875,896.1269
GtDeer_treatment_cerebellum_4x_110.tif,45100225,1127505625,1127.5056
GtDeer_treatment_cerebellum_4x_111.tif,40022400,1000560000,1000.56
GtDeer_treatment_cerebellum_4x_112.tif,31301725,782543125,782.5431
GtDeer_treatment_cerebellum_4x_113.tif,31393875,784846875,784.8469
GtDeer_treatment_cerebellum_4x_114.tif,32866275,821656875,821.6569
GtDeer_treatment_cerebellum_4x_115.tif,44249525,1106238125,1106.2381
GtDeer_treatment_cerebellum_4x_116.tif,40803550,1020088750,1020.0888
GtDeer_treatment_cerebellum_4x_117.tif,43707350,1092683750,1092.6837
GtDeer_treatment_cerebellum_4x_118.tif,34844850,871121250,871.1213
GtDeer_treatment_cerebellum_4x_119.tif,36213700,905342500,905.3425
GtDeer_treatment_cerebellum_4x_12.tif,33405075,835126875,835.1269
GtDeer_treatment_cerebellum_4x_120.tif,49210750,1230268750,1230.2687
GtDeer_treatment_cerebellum_4x_121.tif,46086575,1152164375,1152.1644
GtDeer_treatment_cerebellum_4x_122.tif,47411975,1185299375,1185.2994
GtDeer_treatment_cerebellum_4x_123.tif,44510175,1112754375,1112.7544
GtDeer_treatment_cerebellum_4x_124.tif,62015600,1550390000,1550.39
GtDeer_treatment_cerebellum_4x_125.tif,50993025,1274825625,1274.8256
GtDeer_treatment_cerebellum_4x_126.tif,39770650,994266250,994.2663
GtDeer_treatment_cerebellum_4x_13.tif,32125200,803130000,803.13
GtDeer_treatment_cerebellum_4x_14.tif,23787075,594676875,594.6769
GtDeer_treatment_cerebellum_4x_15.tif,97292725,2.4323E9,2432.3181
GtDeer_treatment_cerebellum_4x_16.tif,32597900,814947500,814.9475
GtDeer_treatment_cerebellum_4x_17.tif,29503575,737589375,737.5894
GtDeer_treatment_cerebellum_4x_18.tif,33138000,828450000,828.45
GtDeer_treatment_cerebellum_4x_19.tif,29353050,733826250,733.8262
GtDeer_treatment_cerebellum_4x_20.tif,21496675,537416875,537.4169
GtDeer_treatment_cerebellum_4x_21.tif,33758425,843960625,843.9606
GtDeer_treatment_cerebellum_4x_22.tif,22616850,565421250,565.4212
GtDeer_treatment_cerebellum_4x_23.tif,26089100,652227500,652.2275
GtDeer_treatment_cerebellum_4x_24.tif,32937225,823430625,823.4306
GtDeer_treatment_cerebellum_4x_25.tif,21084175,527104375,527.1044
GtDeer_treatment_cerebellum_4x_26.tif,36434300,910857500,910.8575
