filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
GtDeer_treatment_hippocampus_4x_01.tif,36784875,919621875,919.6219
GtDeer_treatment_hippocampus_4x_02.tif,42059000,1051475000,1051.475
GtDeer_treatment_hippocampus_4x_03.tif,40868125,1021703125,1021.7031
GtDeer_treatment_hippocampus_4x_04.tif,29295675,732391875,732.3919
GtDeer_treatment_hippocampus_4x_05.tif,29652175,741304375,741.3044
GtDeer_treatment_hippocampus_4x_06.tif,46824725,1170618125,1170.6181
GtDeer_treatment_hippocampus_4x_07.tif,37782875,944571875,944.5719
GtDeer_treatment_hippocampus_4x_08.tif,74231400,1855785000,1855.785
GtDeer_treatment_hippocampus_4x_09.tif,70417225,1760430625,1760.4306
GtDeer_treatment_hippocampus_4x_10.tif,39395975,984899375,984.8994
GtDeer_treatment_hippocampus_4x_11.tif,99381475,2.4845E9,2484.5369
GtDeer_treatment_hippocampus_4x_12.tif,55913375,1397834375,1397.8344
GtDeer_treatment_hippocampus_4x_13.tif,39602975,990074375,990.0744
GtDeer_treatment_hippocampus_4x_14.tif,38595725,964893125,964.8931
GtDeer_treatment_hippocampus_4x_15.tif,68026800,1700670000,1700.67
GtDeer_treatment_hippocampus_4x_16.tif,38005300,950132500,950.1325
GtDeer_treatment_hippocampus_4x_17.tif,75384400,1884610000,1884.61
GtDeer_treatment_hippocampus_4x_18.tif,65190825,1629770625,1629.7706
GtDeer_treatment_hippocampus_4x_19.tif,68015000,1700375000,1700.375
GtDeer_treatment_hippocampus_4x_20.tif,33721275,843031875,843.0319
GtDeer_treatment_hippocampus_4x_21.tif,38274975,956874375,956.8744
GtDeer_treatment_hippocampus_4x_22.tif,54117750,1352943750,1352.9437
GtDeer_treatment_hippocampus_4x_23.tif,44618650,1115466250,1115.4662
GtDeer_treatment_hippocampus_4x_24.tif,62491000,1562275000,1562.275
GtDeer_treatment_hippocampus_4x_25.tif,48418025,1210450625,1210.4506
GtDeer_treatment_hippocampus_4x_26.tif,31939000,798475000,798.475
GtDeer_treatment_hippocampus_4x_27.tif,31205000,780125000,780.125
GtDeer_treatment_hippocampus_4x_28.tif,40310650,1007766250,1007.7663
GtDeer_treatment_hippocampus_4x_29.tif,312270225,7.8068E9,7806.7556
GtDeer_treatment_hippocampus_4x_30.tif,68106975,1702674375,1702.6744
GtDeer_treatment_hippocampus_4x_31.tif,312710300,7.8178E9,7817.7575
GtDeer_treatment_hippocampus_4x_32.tif,83035775,2075894375,2075.8944
GtDeer_treatment_hippocampus_4x_33.tif,66926250,1673156250,1673.1562
