filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
GtDeer_treatment_midbrain_4x_01.tif,37083400,927085000,927.085
GtDeer_treatment_midbrain_4x_02.tif,47992500,1199812500,1199.8125
GtDeer_treatment_midbrain_4x_03.tif,40195575,1004889375,1004.8894
GtDeer_treatment_midbrain_4x_04.tif,25826000,645650000,645.65
GtDeer_treatment_midbrain_4x_05.tif,28334750,708368750,708.3687
GtDeer_treatment_midbrain_4x_06.tif,18820325,470508125,470.5081
GtDeer_treatment_midbrain_4x_07.tif,35234525,880863125,880.8631
GtDeer_treatment_midbrain_4x_08.tif,69635725,1740893125,1740.8931
GtDeer_treatment_midbrain_4x_09.tif,39217150,980428750,980.4288
GtDeer_treatment_midbrain_4x_10.tif,50685575,1267139375,1267.1394
GtDeer_treatment_midbrain_4x_11.tif,62535825,1563395625,1563.3956
GtDeer_treatment_midbrain_4x_12.tif,37365300,934132500,934.1325
GtDeer_treatment_midbrain_4x_13.tif,74744100,1868602500,1868.6025
GtDeer_treatment_midbrain_4x_14.tif,37791950,944798750,944.7988
GtDeer_treatment_midbrain_4x_15.tif,62322975,1558074375,1558.0744
GtDeer_treatment_midbrain_4x_16.tif,76918600,1922965000,1922.965
GtDeer_treatment_midbrain_4x_17.tif,88966125,2.2242E9,2224.1531
GtDeer_treatment_midbrain_4x_18.tif,40864300,1021607500,1021.6075
GtDeer_treatment_midbrain_4x_19.tif,41445875,1036146875,1036.1469
GtDeer_treatment_midbrain_4x_20.tif,50303475,1257586875,1257.5869
GtDeer_treatment_midbrain_4x_21.tif,53020700,1325517500,1325.5175
GtDeer_treatment_midbrain_4x_22.tif,54982900,1374572500,1374.5725
GtDeer_treatment_midbrain_4x_23.tif,30243600,756090000,756.09
GtDeer_treatment_midbrain_4x_24.tif,35891675,897291875,897.2919
GtDeer_treatment_midbrain_4x_25.tif,75902825,1897570625,1897.5706
GtDeer_treatment_midbrain_4x_26.tif,87293850,2.1823E9,2182.3463
GtDeer_treatment_midbrain_4x_27.tif,70964775,1774119375,1774.1194
GtDeer_treatment_midbrain_4x_28.tif,43876000,1096900000,1096.9
GtDeer_treatment_midbrain_4x_29.tif,91897800,2.2974E9,2297.445
GtDeer_treatment_midbrain_4x_30.tif,68668450,1716711250,1716.7113
GtDeer_treatment_midbrain_4x_31.tif,79839900,1995997500,1995.9975
GtDeer_treatment_midbrain_4x_32.tif,53602850,1340071250,1340.0712
GtDeer_treatment_midbrain_4x_33.tif,85247800,2131195000,2131.195
GtDeer_treatment_midbrain_4x_34.tif,68128450,1703211250,1703.2113
GtDeer_treatment_midbrain_4x_35.tif,39849375,996234375,996.2344
GtDeer_treatment_midbrain_4x_36.tif,95354100,2.3839E9,2383.8525
GtDeer_treatment_midbrain_4x_37.tif,30030000,750750000,750.75
GtDeer_treatment_midbrain_4x_38.tif,88859575,2.2215E9,2221.4894
GtDeer_treatment_midbrain_4x_39.tif,33651450,841286250,841.2862
GtDeer_treatment_midbrain_4x_40.tif,71198200,1779955000,1779.955
GtDeer_treatment_midbrain_4x_41.tif,64868525,1621713125,1621.7131
GtDeer_treatment_midbrain_4x_42.tif,36284750,907118750,907.1187
GtDeer_treatment_midbrain_4x_43.tif,82230750,2055768750,2055.7688
GtDeer_treatment_midbrain_4x_44.tif,87164250,2.1791E9,2179.1062
GtDeer_treatment_midbrain_4x_45.tif,77362300,1934057500,1934.0575
GtDeer_treatment_midbrain_4x_46.tif,40259025,1006475625,1006.4756
GtDeer_treatment_midbrain_4x_47.tif,71878125,1796953125,1796.9531
GtDeer_treatment_midbrain_4x_48.tif,93050650,2.3263E9,2326.2663
GtDeer_treatment_midbrain_4x_49.tif,35269200,881730000,881.73
GtDeer_treatment_midbrain_4x_50.tif,39490125,987253125,987.2531
GtDeer_treatment_midbrain_4x_51.tif,77042250,1926056250,1926.0563
GtDeer_treatment_midbrain_4x_52.tif,95481800,2.3870E9,2387.045
GtDeer_treatment_midbrain_4x_53.tif,34927200,873180000,873.18
GtDeer_treatment_midbrain_4x_54.tif,31453925,786348125,786.3481
GtDeer_treatment_midbrain_4x_55.tif,38891350,972283750,972.2838
GtDeer_treatment_midbrain_4x_56.tif,35012700,875317500,875.3175
GtDeer_treatment_midbrain_4x_57.tif,51463725,1286593125,1286.5931
GtDeer_treatment_midbrain_4x_58.tif,44321550,1108038750,1108.0387
GtDeer_treatment_midbrain_4x_59.tif,38544775,963619375,963.6194
GtDeer_treatment_midbrain_4x_60.tif,76157625,1903940625,1903.9406
GtDeer_treatment_midbrain_4x_61.tif,75516100,1887902500,1887.9025
GtDeer_treatment_midbrain_4x_62.tif,42112125,1052803125,1052.8031
GtDeer_treatment_midbrain_4x_63.tif,90347600,2.2587E9,2258.69
GtDeer_treatment_midbrain_4x_64.tif,42651975,1066299375,1066.2994
GtDeer_treatment_midbrain_4x_65.tif,68953000,1723825000,1723.825
GtDeer_treatment_midbrain_4x_66.tif,38284525,957113125,957.1131
GtDeer_treatment_midbrain_4x_67.tif,69460625,1736515625,1736.5156
GtDeer_treatment_midbrain_4x_68.tif,83691000,2092275000,2092.275
GtDeer_treatment_midbrain_4x_69.tif,42982625,1074565625,1074.5656
GtDeer_treatment_midbrain_4x_70.tif,69943750,1748593750,1748.5938
GtDeer_treatment_midbrain_4x_71.tif,43642400,1091060000,1091.06
GtDeer_treatment_midbrain_4x_72.tif,37253325,931333125,931.3331
GtDeer_treatment_midbrain_4x_73.tif,39949100,998727500,998.7275
GtDeer_treatment_midbrain_4x_74.tif,56724000,1418100000,1418.1
GtDeer_treatment_midbrain_4x_75.tif,39810475,995261875,995.2619
GtDeer_treatment_midbrain_4x_76.tif,78192450,1954811250,1954.8112
GtDeer_treatment_midbrain_4x_77.tif,110963800,2.7741E9,2774.095
GtDeer_treatment_midbrain_4x_78.tif,79032625,1975815625,1975.8156
