filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
GtDeer_treatment_septum_4x_01.tif,32416800,810420000,810.42
GtDeer_treatment_septum_4x_02.tif,25967700,649192500,649.1925
GtDeer_treatment_septum_4x_03.tif,37832800,945820000,945.82
GtDeer_treatment_septum_4x_04.tif,41988250,1049706250,1049.7062
GtDeer_treatment_septum_4x_05.tif,44505650,1112641250,1112.6412
GtDeer_treatment_septum_4x_06.tif,39888450,997211250,997.2112
GtDeer_treatment_septum_4x_07.tif,24965325,624133125,624.1331
GtDeer_treatment_septum_4x_08.tif,20664350,516608750,516.6087
GtDeer_treatment_septum_4x_09.tif,47879400,1196985000,1196.985
GtDeer_treatment_septum_4x_10.tif,30319800,757995000,757.995
GtDeer_treatment_septum_4x_11.tif,57323350,1433083750,1433.0838
GtDeer_treatment_septum_4x_12.tif,44982975,1124574375,1124.5744
GtDeer_treatment_septum_4x_13.tif,20397100,509927500,509.9275
GtDeer_treatment_septum_4x_14.tif,71072875,1776821875,1776.8219
GtDeer_treatment_septum_4x_15.tif,31038975,775974375,775.9744
GtDeer_treatment_septum_4x_16.tif,28974725,724368125,724.3681
GtDeer_treatment_septum_4x_17.tif,54650800,1366270000,1366.27
GtDeer_treatment_septum_4x_18.tif,23240700,581017500,581.0175
GtDeer_treatment_septum_4x_19.tif,45663750,1141593750,1141.5938
GtDeer_treatment_septum_4x_20.tif,39203025,980075625,980.0756
GtDeer_treatment_septum_4x_21.tif,56100825,1402520625,1402.5206
GtDeer_treatment_septum_4x_22.tif,25798350,644958750,644.9588
GtDeer_treatment_septum_4x_23.tif,20765250,519131250,519.1313
GtDeer_treatment_septum_4x_24.tif,23049075,576226875,576.2269
GtDeer_treatment_septum_4x_25.tif,32159375,803984375,803.9844
GtDeer_treatment_septum_4x_26.tif,40627275,1015681875,1015.6819
GtDeer_treatment_septum_4x_27.tif,34068975,851724375,851.7244
GtDeer_treatment_septum_4x_28.tif,21169725,529243125,529.2431
GtDeer_treatment_septum_4x_29.tif,23414325,585358125,585.3581
GtDeer_treatment_septum_4x_30.tif,37310150,932753750,932.7537
GtDeer_treatment_septum_4x_31.tif,33312975,832824375,832.8244
GtDeer_treatment_septum_4x_32.tif,34137525,853438125,853.4381
GtDeer_treatment_septum_4x_33.tif,27190600,679765000,679.765
GtDeer_treatment_septum_4x_34.tif,35599200,889980000,889.98
GtDeer_treatment_septum_4x_35.tif,14916550,372913750,372.9137
GtDeer_treatment_septum_4x_36.tif,57692800,1442320000,1442.32
GtDeer_treatment_septum_4x_37.tif,45997375,1149934375,1149.9344
GtDeer_treatment_septum_4x_38.tif,22532575,563314375,563.3144
GtDeer_treatment_septum_4x_39.tif,27426750,685668750,685.6688
GtDeer_treatment_septum_4x_40.tif,54491750,1362293750,1362.2938
GtDeer_treatment_septum_4x_41.tif,42582425,1064560625,1064.5606
GtDeer_treatment_septum_4x_42.tif,47909850,1197746250,1197.7462
