filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
WT_control_cerebellum_4x_01.tif,18647800,466195000,466.195
WT_control_cerebellum_4x_02.tif,84122850,2103071250,2103.0712
WT_control_cerebellum_4x_03.tif,62192675,1554816875,1554.8169
WT_control_cerebellum_4x_04.tif,60934200,1523355000,1523.355
WT_control_cerebellum_4x_05.tif,14249400,356235000,356.235
WT_control_cerebellum_4x_06.tif,37832975,945824375,945.8244
WT_control_cerebellum_4x_07.tif,78917800,1972945000,1972.945
WT_control_cerebellum_4x_08.tif,74841900,1871047500,1871.0475
WT_control_cerebellum_4x_09.tif,73620250,1840506250,1840.5062
WT_control_cerebellum_4x_10.tif,62300875,1557521875,1557.5219
WT_control_cerebellum_4x_11.tif,53281600,1332040000,1332.04
WT_control_cerebellum_4x_12.tif,63494475,1587361875,1587.3619
WT_control_cerebellum_4x_13.tif,79532300,1988307500,1988.3075
WT_control_cerebellum_4x_14.tif,39677900,991947500,991.9475
WT_control_cerebellum_4x_15.tif,38152700,953817500,953.8175
WT_control_cerebellum_4x_16.tif,38696325,967408125,967.4081
WT_control_cerebellum_4x_17.tif,37740150,943503750,943.5037
WT_control_cerebellum_4x_18.tif,67053450,1676336250,1676.3363
WT_control_cerebellum_4x_19.tif,16623125,415578125,415.5781
WT_control_cerebellum_4x_20.tif,21016750,525418750,525.4188
WT_control_cerebellum_4x_21.tif,19389525,484738125,484.7381
WT_control_cerebellum_4x_22.tif,16169075,404226875,404.2269
WT_control_cerebellum_4x_23.tif,23296875,582421875,582.4219
WT_control_cerebellum_4x_24.tif,37458000,936450000,936.45
WT_control_cerebellum_4x_25.tif,37754000,943850000,943.85
WT_control_cerebellum_4x_26.tif,51403825,1285095625,1285.0956
WT_control_cerebellum_4x_27.tif,42949025,1073725625,1073.7256
WT_control_cerebellum_4x_28.tif,46873650,1171841250,1171.8412
WT_control_cerebellum_4x_29.tif,41645500,1041137500,1041.1375
WT_control_cerebellum_4x_30.tif,38331700,958292500,958.2925
WT_control_cerebellum_4x_31.tif,23365875,584146875,584.1469
WT_control_cerebellum_4x_32.tif,18321375,458034375,458.0344
WT_control_cerebellum_4x_33.tif,76652525,1916313125,1916.3131
WT_control_cerebellum_4x_34.tif,30760825,769020625,769.0206
WT_control_cerebellum_4x_35.tif,32497850,812446250,812.4462
WT_control_cerebellum_4x_36.tif,20094400,502360000,502.36
WT_control_cerebellum_4x_37.tif,13949800,348745000,348.745
WT_control_cerebellum_4x_38.tif,35938100,898452500,898.4525
WT_control_cerebellum_4x_39.tif,9257625,231440625,231.4406
WT_control_cerebellum_4x_40.tif,37163250,929081250,929.0812
WT_control_cerebellum_4x_41.tif,34429425,860735625,860.7356
WT_control_cerebellum_4x_42.tif,98356000,2.4589E9,2458.9
WT_control_cerebellum_4x_43.tif,46339925,1158498125,1158.4981
WT_control_cerebellum_4x_44.tif,198800,4970000,4.97
WT_control_cerebellum_4x_45.tif,79683700,1992092500,1992.0925
WT_control_cerebellum_4x_46.tif,68554900,1713872500,1713.8725
