filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
WT_control_hippocampus_4x_01.tif,23469950,586748750,586.7487
WT_control_hippocampus_4x_02.tif,67712925,1692823125,1692.8231
WT_control_hippocampus_4x_03.tif,22965275,574131875,574.1319
WT_control_hippocampus_4x_04.tif,16655525,416388125,416.3881
WT_control_hippocampus_4x_05.tif,22817350,570433750,570.4338
WT_control_hippocampus_4x_06.tif,117045000,2.9261E9,2926.125
WT_control_hippocampus_4x_07.tif,118240675,2.9560E9,2956.0169
WT_control_hippocampus_4x_08.tif,86639400,2.1660E9,2165.985
WT_control_hippocampus_4x_09.tif,66469950,1661748750,1661.7487
WT_control_hippocampus_4x_10.tif,81465150,2036628750,2036.6288
WT_control_hippocampus_4x_11.tif,84237100,2105927500,2105.9275
WT_control_hippocampus_4x_12.tif,48729750,1218243750,1218.2438
WT_control_hippocampus_4x_13.tif,67313325,1682833125,1682.8331
WT_control_hippocampus_4x_14.tif,61615225,1540380625,1540.3806
WT_control_hippocampus_4x_15.tif,54663600,1366590000,1366.59
WT_control_hippocampus_4x_16.tif,87265725,2.1816E9,2181.6431
WT_control_hippocampus_4x_17.tif,89322775,2.2331E9,2233.0694
WT_control_hippocampus_4x_18.tif,73552400,1838810000,1838.81
WT_control_hippocampus_4x_19.tif,92775725,2.3194E9,2319.3931
WT_control_hippocampus_4x_20.tif,60757700,1518942500,1518.9425
WT_control_hippocampus_4x_21.tif,84960675,2124016875,2124.0169
WT_control_hippocampus_4x_22.tif,16814225,420355625,420.3556
WT_control_hippocampus_4x_23.tif,49361125,1234028125,1234.0281
WT_control_hippocampus_4x_24.tif,59600875,1490021875,1490.0219
WT_control_hippocampus_4x_25.tif,46394075,1159851875,1159.8519
WT_control_hippocampus_4x_26.tif,43444475,1086111875,1086.1119
WT_control_hippocampus_4x_27.tif,11174850,279371250,279.3712
WT_control_hippocampus_4x_28.tif,9808100,245202500,245.2025
WT_control_hippocampus_4x_29.tif,44584350,1114608750,1114.6088
WT_control_hippocampus_4x_30.tif,46016875,1150421875,1150.4219
WT_control_hippocampus_4x_31.tif,412775,10319375,10.3194
WT_control_hippocampus_4x_32.tif,42807675,1070191875,1070.1919
WT_control_hippocampus_4x_33.tif,88498675,2.2125E9,2212.4669
