filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
WT_control_midbrain_4x_01.tif,96473750,2.4118E9,2411.8438
WT_control_midbrain_4x_02.tif,73655250,1841381250,1841.3812
WT_control_midbrain_4x_03.tif,98504350,2.4626E9,2462.6087
WT_control_midbrain_4x_04.tif,13627775,340694375,340.6944
WT_control_midbrain_4x_05.tif,50477450,1261936250,1261.9362
WT_control_midbrain_4x_06.tif,139456450,3.4864E9,3486.4113
WT_control_midbrain_4x_07.tif,124577850,3.1144E9,3114.4462
WT_control_midbrain_4x_08.tif,138054000,3.4514E9,3451.35
WT_control_midbrain_4x_09.tif,87131250,2.1783E9,2178.2812
WT_control_midbrain_4x_10.tif,79385850,1984646250,1984.6463
WT_control_midbrain_4x_11.tif,127264200,3.1816E9,3181.605
WT_control_midbrain_4x_12.tif,93354175,2.3339E9,2333.8544
WT_control_midbrain_4x_13.tif,86263500,2.1566E9,2156.5875
WT_control_midbrain_4x_14.tif,88100075,2.2025E9,2202.5019
WT_control_midbrain_4x_15.tif,76040825,1901020625,1901.0206
WT_control_midbrain_4x_16.tif,76868500,1921712500,1921.7125
WT_control_midbrain_4x_17.tif,67681050,1692026250,1692.0262
WT_control_midbrain_4x_18.tif,81859600,2046490000,2046.49
WT_control_midbrain_4x_19.tif,148670050,3.7168E9,3716.7512
WT_control_midbrain_4x_20.tif,36714600,917865000,917.865
WT_control_midbrain_4x_21.tif,41554750,1038868750,1038.8688
WT_control_midbrain_4x_22.tif,56820750,1420518750,1420.5187
WT_control_midbrain_4x_23.tif,40738125,1018453125,1018.4531
WT_control_midbrain_4x_24.tif,10374425,259360625,259.3606
WT_control_midbrain_4x_25.tif,9675900,241897500,241.8975
WT_control_midbrain_4x_26.tif,46547700,1163692500,1163.6925
WT_control_midbrain_4x_27.tif,75823300,1895582500,1895.5825
WT_control_midbrain_4x_28.tif,502425,12560625,12.5606
WT_control_midbrain_4x_29.tif,65091100,1627277500,1627.2775
WT_control_midbrain_4x_30.tif,88290675,2.2073E9,2207.2669
