filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
WT_control_septum_4x_01.tif,16904225,422605625,422.6056
WT_control_septum_4x_02.tif,46320975,1158024375,1158.0244
WT_control_septum_4x_03.tif,61732000,1543300000,1543.3
WT_control_septum_4x_04.tif,63826025,1595650625,1595.6506
WT_control_septum_4x_05.tif,60732400,1518310000,1518.31
WT_control_septum_4x_06.tif,45832350,1145808750,1145.8087
WT_control_septum_4x_07.tif,80902825,2022570625,2022.5706
WT_control_septum_4x_08.tif,81782100,2044552500,2044.5525
WT_control_septum_4x_09.tif,79964600,1999115000,1999.115
WT_control_septum_4x_10.tif,50251950,1256298750,1256.2987
WT_control_septum_4x_11.tif,41379650,1034491250,1034.4913
WT_control_septum_4x_12.tif,64531150,1613278750,1613.2787
WT_control_septum_4x_13.tif,23152850,578821250,578.8212
WT_control_septum_4x_14.tif,24953600,623840000,623.84
WT_control_septum_4x_15.tif,16827075,420676875,420.6769
WT_control_septum_4x_16.tif,15300450,382511250,382.5113
WT_control_septum_4x_17.tif,17659500,441487500,441.4875
WT_control_septum_4x_18.tif,66288425,1657210625,1657.2106
WT_control_septum_4x_19.tif,19194325,479858125,479.8581
WT_control_septum_4x_20.tif,74216000,1855400000,1855.4
WT_control_septum_4x_21.tif,26571600,664290000,664.29
WT_control_septum_4x_22.tif,14977250,374431250,374.4312
WT_control_septum_4x_23.tif,58168000,1454200000,1454.2
WT_control_septum_4x_24.tif,82355125,2058878125,2058.8781
WT_control_septum_4x_25.tif,39656850,991421250,991.4212
WT_control_septum_4x_26.tif,38553300,963832500,963.8325
WT_control_septum_4x_27.tif,40107950,1002698750,1002.6988
WT_control_septum_4x_28.tif,37299850,932496250,932.4963
WT_control_septum_4x_29.tif,41208425,1030210625,1030.2106
WT_control_septum_4x_30.tif,38911650,972791250,972.7912
WT_control_septum_4x_31.tif,50212200,1255305000,1255.305
WT_control_septum_4x_32.tif,357050,8926250,8.9262
WT_control_septum_4x_33.tif,40550400,1013760000,1013.76
WT_control_septum_4x_34.tif,55564700,1389117500,1389.1175
