filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
GtElk_treatment_cerebellum_4x_01.tif,35785250,894631250,894.6313
GtElk_treatment_cerebellum_4x_02.tif,36764150,919103750,919.1037
GtElk_treatment_cerebellum_4x_03.tif,107429050,2.6857E9,2685.7263
GtElk_treatment_cerebellum_4x_04.tif,27786150,694653750,694.6537
GtElk_treatment_cerebellum_4x_05.tif,31492125,787303125,787.3031
GtElk_treatment_cerebellum_4x_06.tif,35571650,889291250,889.2912
GtElk_treatment_cerebellum_4x_07.tif,66489975,1662249375,1662.2494
GtElk_treatment_cerebellum_4x_08.tif,63442975,1586074375,1586.0744
GtElk_treatment_cerebellum_4x_09.tif,45899700,1147492500,1147.4925
GtElk_treatment_cerebellum_4x_10.tif,83361525,2084038125,2084.0381
GtElk_treatment_cerebellum_4x_11.tif,60594200,1514855000,1514.855
GtElk_treatment_cerebellum_4x_12.tif,74560175,1864004375,1864.0044
GtElk_treatment_cerebellum_4x_13.tif,51194000,1279850000,1279.85
GtElk_treatment_cerebellum_4x_14.tif,25397650,634941250,634.9412
GtElk_treatment_cerebellum_4x_15.tif,25513175,637829375,637.8294
GtElk_treatment_cerebellum_4x_16.tif,27659250,691481250,691.4813
GtElk_treatment_cerebellum_4x_17.tif,23539950,588498750,588.4987
GtElk_treatment_cerebellum_4x_18.tif,39241825,981045625,981.0456
GtElk_treatment_cerebellum_4x_19.tif,42258625,1056465625,1056.4656
GtElk_treatment_cerebellum_4x_20.tif,48852000,1221300000,1221.3
GtElk_treatment_cerebellum_4x_21.tif,113655500,2.8414E9,2841.3875
GtElk_treatment_cerebellum_4x_22.tif,129908025,3.2477E9,3247.7006
GtElk_treatment_cerebellum_4x_23.tif,35887775,897194375,897.1944
GtElk_treatment_cerebellum_4x_24.tif,23357075,583926875,583.9269
GtElk_treatment_cerebellum_4x_25.tif,43963550,1099088750,1099.0887
GtElk_treatment_cerebellum_4x_26.tif,46138400,1153460000,1153.46
GtElk_treatment_cerebellum_4x_27.tif,42568350,1064208750,1064.2088
GtElk_treatment_cerebellum_4x_28.tif,24799225,619980625,619.9806
GtElk_treatment_cerebellum_4x_29.tif,45224825,1130620625,1130.6206
GtElk_treatment_cerebellum_4x_30.tif,44352925,1108823125,1108.8231
GtElk_treatment_cerebellum_4x_31.tif,24943525,623588125,623.5881
GtElk_treatment_cerebellum_4x_32.tif,61811750,1545293750,1545.2938
GtElk_treatment_cerebellum_4x_33.tif,60414375,1510359375,1510.3594
GtElk_treatment_cerebellum_4x_34.tif,31053950,776348750,776.3487
GtElk_treatment_cerebellum_4x_35.tif,25469875,636746875,636.7469
GtElk_treatment_cerebellum_4x_36.tif,30873725,771843125,771.8431
GtElk_treatment_cerebellum_4x_37.tif,24861475,621536875,621.5369
GtElk_treatment_cerebellum_4x_38.tif,38177350,954433750,954.4338
GtElk_treatment_cerebellum_4x_39.tif,33192050,829801250,829.8012
GtElk_treatment_cerebellum_4x_40.tif,22740750,568518750,568.5187
GtElk_treatment_cerebellum_4x_41.tif,20652550,516313750,516.3138
GtElk_treatment_cerebellum_4x_42.tif,20482300,512057500,512.0575
GtElk_treatment_cerebellum_4x_43.tif,29906650,747666250,747.6662
GtElk_treatment_cerebellum_4x_44.tif,22823775,570594375,570.5944
GtElk_treatment_cerebellum_4x_45.tif,10243300,256082500,256.0825
GtElk_treatment_cerebellum_4x_46.tif,130093800,3.2523E9,3252.345
GtElk_treatment_cerebellum_4x_47.tif,42973575,1074339375,1074.3394
GtElk_treatment_cerebellum_4x_48.tif,102593025,2.5648E9,2564.8256
GtElk_treatment_cerebellum_4x_49.tif,41045500,1026137500,1026.1375
GtElk_treatment_cerebellum_4x_50.tif,47670175,1191754375,1191.7544
GtElk_treatment_cerebellum_4x_51.tif,58094450,1452361250,1452.3612
GtElk_treatment_cerebellum_4x_52.tif,53445300,1336132500,1336.1325
GtElk_treatment_cerebellum_4x_53.tif,52697025,1317425625,1317.4256
GtElk_treatment_cerebellum_4x_54.tif,40248950,1006223750,1006.2237
