filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
GtElk_treatment_hippocampus_4x_01.tif,52176275,1304406875,1304.4069
GtElk_treatment_hippocampus_4x_02.tif,64118800,1602970000,1602.97
GtElk_treatment_hippocampus_4x_03.tif,68176175,1704404375,1704.4044
GtElk_treatment_hippocampus_4x_04.tif,86729625,2.1682E9,2168.2406
GtElk_treatment_hippocampus_4x_05.tif,49018075,1225451875,1225.4519
GtElk_treatment_hippocampus_4x_06.tif,65688700,1642217500,1642.2175
GtElk_treatment_hippocampus_4x_07.tif,61943950,1548598750,1548.5988
GtElk_treatment_hippocampus_4x_08.tif,74455400,1861385000,1861.385
GtElk_treatment_hippocampus_4x_09.tif,67314375,1682859375,1682.8594
GtElk_treatment_hippocampus_4x_10.tif,68747675,1718691875,1718.6919
GtElk_treatment_hippocampus_4x_11.tif,89540075,2.2385E9,2238.5019
GtElk_treatment_hippocampus_4x_12.tif,42645625,1066140625,1066.1406
GtElk_treatment_hippocampus_4x_13.tif,45412475,1135311875,1135.3119
GtElk_treatment_hippocampus_4x_14.tif,24242400,606060000,606.06
GtElk_treatment_hippocampus_4x_15.tif,32986800,824670000,824.67
GtElk_treatment_hippocampus_4x_16.tif,40665825,1016645625,1016.6456
GtElk_treatment_hippocampus_4x_17.tif,42281250,1057031250,1057.0312
GtElk_treatment_hippocampus_4x_18.tif,38951550,973788750,973.7888
GtElk_treatment_hippocampus_4x_19.tif,62701425,1567535625,1567.5356
GtElk_treatment_hippocampus_4x_20.tif,82953950,2073848750,2073.8488
GtElk_treatment_hippocampus_4x_21.tif,104396850,2.6099E9,2609.9212
GtElk_treatment_hippocampus_4x_22.tif,98522600,2.4631E9,2463.065
GtElk_treatment_hippocampus_4x_23.tif,56118650,1402966250,1402.9662
GtElk_treatment_hippocampus_4x_24.tif,52534050,1313351250,1313.3512
GtElk_treatment_hippocampus_4x_25.tif,35251125,881278125,881.2781
GtElk_treatment_hippocampus_4x_26.tif,30456025,761400625,761.4006
GtElk_treatment_hippocampus_4x_27.tif,45110850,1127771250,1127.7713
GtElk_treatment_hippocampus_4x_28.tif,17662500,441562500,441.5625
GtElk_treatment_hippocampus_4x_29.tif,29194525,729863125,729.8631
GtElk_treatment_hippocampus_4x_30.tif,85463425,2136585625,2136.5856
GtElk_treatment_hippocampus_4x_31.tif,45404900,1135122500,1135.1225
GtElk_treatment_hippocampus_4x_32.tif,26115650,652891250,652.8913
GtElk_treatment_hippocampus_4x_33.tif,55966150,1399153750,1399.1537
GtElk_treatment_hippocampus_4x_34.tif,63642950,1591073750,1591.0738
GtElk_treatment_hippocampus_4x_35.tif,60095000,1502375000,1502.375
