filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
GtElk_treatment_midbrain_4x_01.tif,59697525,1492438125,1492.4381
GtElk_treatment_midbrain_4x_02.tif,60110925,1502773125,1502.7731
GtElk_treatment_midbrain_4x_03.tif,70356575,1758914375,1758.9144
GtElk_treatment_midbrain_4x_04.tif,60770075,1519251875,1519.2519
GtElk_treatment_midbrain_4x_05.tif,35527775,888194375,888.1944
GtElk_treatment_midbrain_4x_06.tif,73340425,1833510625,1833.5106
GtElk_treatment_midbrain_4x_07.tif,25467750,636693750,636.6938
GtElk_treatment_midbrain_4x_08.tif,67330550,1683263750,1683.2638
GtElk_treatment_midbrain_4x_09.tif,67011175,1675279375,1675.2794
GtElk_treatment_midbrain_4x_10.tif,73303875,1832596875,1832.5969
GtElk_treatment_midbrain_4x_11.tif,64573350,1614333750,1614.3338
GtElk_treatment_midbrain_4x_12.tif,15410025,385250625,385.2506
GtElk_treatment_midbrain_4x_13.tif,41948825,1048720625,1048.7206
GtElk_treatment_midbrain_4x_14.tif,27535750,688393750,688.3937
GtElk_treatment_midbrain_4x_15.tif,31929975,798249375,798.2494
GtElk_treatment_midbrain_4x_16.tif,38745725,968643125,968.6431
GtElk_treatment_midbrain_4x_17.tif,42397100,1059927500,1059.9275
GtElk_treatment_midbrain_4x_18.tif,41258300,1031457500,1031.4575
GtElk_treatment_midbrain_4x_19.tif,30971900,774297500,774.2975
GtElk_treatment_midbrain_4x_20.tif,46244225,1156105625,1156.1056
GtElk_treatment_midbrain_4x_21.tif,76323650,1908091250,1908.0912
GtElk_treatment_midbrain_4x_22.tif,89602425,2.2401E9,2240.0606
GtElk_treatment_midbrain_4x_23.tif,94968075,2.3742E9,2374.2019
GtElk_treatment_midbrain_4x_24.tif,58550550,1463763750,1463.7638
GtElk_treatment_midbrain_4x_25.tif,60088825,1502220625,1502.2206
GtElk_treatment_midbrain_4x_26.tif,36148350,903708750,903.7088
GtElk_treatment_midbrain_4x_27.tif,49192900,1229822500,1229.8225
GtElk_treatment_midbrain_4x_28.tif,16095600,402390000,402.39
GtElk_treatment_midbrain_4x_29.tif,88138575,2.2035E9,2203.4644
GtElk_treatment_midbrain_4x_30.tif,79342500,1983562500,1983.5625
GtElk_treatment_midbrain_4x_31.tif,49118750,1227968750,1227.9688
GtElk_treatment_midbrain_4x_32.tif,73078950,1826973750,1826.9738
GtElk_treatment_midbrain_4x_33.tif,72622200,1815555000,1815.555
GtElk_treatment_midbrain_4x_34.tif,56276100,1406902500,1406.9025
GtElk_treatment_midbrain_4x_35.tif,54512725,1362818125,1362.8181
GtElk_treatment_midbrain_4x_36.tif,61897700,1547442500,1547.4425
GtElk_treatment_midbrain_4x_37.tif,47590950,1189773750,1189.7738
