filename,tissue_area_px,tissue_area_um2,tissue_area_mm2
GtElk_treatment_septum_4x_01.tif,26319725,657993125,657.9931
GtElk_treatment_septum_4x_02.tif,36222800,905570000,905.57
GtElk_treatment_septum_4x_03.tif,44419425,1110485625,1110.4856
GtElk_treatment_septum_4x_04.tif,38163050,954076250,954.0762
GtElk_treatment_septum_4x_05.tif,31852875,796321875,796.3219
GtElk_treatment_septum_4x_06.tif,43100050,1077501250,1077.5013
GtElk_treatment_septum_4x_07.tif,12154500,303862500,303.8625
GtElk_treatment_septum_4x_08.tif,30688500,767212500,767.2125
GtElk_treatment_septum_4x_09.tif,35550150,888753750,888.7537
GtElk_treatment_septum_4x_10.tif,34722875,868071875,868.0719
GtElk_treatment_septum_4x_11.tif,39641375,991034375,991.0344
GtElk_treatment_septum_4x_12.tif,26983100,674577500,674.5775
GtElk_treatment_septum_4x_13.tif,20421250,510531250,510.5312
GtElk_treatment_septum_4x_14.tif,22841875,571046875,571.0469
GtElk_treatment_septum_4x_15.tif,16089350,402233750,402.2337
GtElk_treatment_septum_4x_16.tif,23194375,579859375,579.8594
GtElk_treatment_septum_4x_17.tif,16294425,407360625,407.3606
GtElk_treatment_septum_4x_18.tif,37881000,947025000,947.025
GtElk_treatment_septum_4x_19.tif,51892575,1297314375,1297.3144
GtElk_treatment_septum_4x_20.tif,45916300,1147907500,1147.9075
GtElk_treatment_septum_4x_21.tif,72356650,1808916250,1808.9162
GtElk_treatment_septum_4x_22.tif,67187825,1679695625,1679.6956
GtElk_treatment_septum_4x_23.tif,28022275,700556875,700.5569
GtElk_treatment_septum_4x_24.tif,28092150,702303750,702.3038
GtElk_treatment_septum_4x_25.tif,35126150,878153750,878.1537
GtElk_treatment_septum_4x_26.tif,13460175,336504375,336.5044
GtElk_treatment_septum_4x_27.tif,53406275,1335156875,1335.1569
GtElk_treatment_septum_4x_28.tif,39236875,980921875,980.9219
GtElk_treatment_septum_4x_29.tif,40626900,1015672500,1015.6725
GtElk_treatment_septum_4x_30.tif,49794500,1244862500,1244.8625
GtElk_treatment_septum_4x_31.tif,41377250,1034431250,1034.4313
GtElk_treatment_septum_4x_32.tif,62683350,1567083750,1567.0838
GtElk_treatment_septum_4x_33.tif,41073650,1026841250,1026.8412
GtElk_treatment_septum_4x_34.tif,41660175,1041504375,1041.5044
GtElk_treatment_septum_4x_35.tif,47289000,1182225000,1182.225
GtElk_treatment_septum_4x_36.tif,40935350,1023383750,1023.3837
GtElk_treatment_septum_4x_37.tif,49681850,1242046250,1242.0463
